global_id,model,module_id,module_name,record_class,rule_name,layer,rule_type,main_signal,output_slot,priority,validation_status,runtime_load,source_file,native_reference
M02-DZ-0011-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支子属阳水；标准藏干为癸本气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!17
M02-DZ-0012-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支丑属阴土；标准藏干为己本气、癸中气、辛余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!18
M02-DZ-0013-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支寅属阳木；标准藏干为甲本气、丙中气、戊余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!19
M02-DZ-0014-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支卯属阴木；标准藏干为乙本气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!20
M02-DZ-0015-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支辰属阳土；标准藏干为戊本气、乙中气、癸余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!21
M02-DZ-0016-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支巳属阴火；标准藏干为丙本气、戊中气、庚余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!22
M02-DZ-0017-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支午属阳火；标准藏干为丁本气、己中气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!23
M02-DZ-0018-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支未属阴土；标准藏干为己本气、丁中气、乙余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!24
M02-DZ-0019-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支申属阳金；标准藏干为庚本气、壬中气、戊余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!25
M02-DZ-0020-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支酉属阴金；标准藏干为辛本气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!26
M02-DZ-0021-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支戌属阳土；标准藏干为戊本气、辛中气、丁余气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!27
M02-DZ-0022-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支亥属阴水；标准藏干为壬本气、甲中气。地支五行标签与支内各藏干是两个层次。,识别层,正式规则,地支,地支藏干映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!28
M02-WX-0023-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,木为五行之一；基础生克方向为水生木、木生火、木克土、金克木。,识别层,正式规则,五行,五行基础生克,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!29
M02-WX-0024-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,火为五行之一；基础生克方向为木生火、火生土、火克金、水克火。,识别层,正式规则,五行,五行基础生克,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!30
M02-WX-0025-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,土为五行之一；基础生克方向为火生土、土生金、土克水、木克土。,识别层,正式规则,五行,五行基础生克,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!31
M02-WX-0026-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,金为五行之一；基础生克方向为土生金、金生水、金克木、火克金。,识别层,正式规则,五行,五行基础生克,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!32
M02-WX-0027-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,水为五行之一；基础生克方向为金生水、水生木、水克火、土克水。,识别层,正式规则,五行,五行基础生克,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!33
M02-SS-0028-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,比肩是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!34
M02-SS-0029-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,劫财是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!35
M02-SS-0030-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,食神是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!36
M02-SS-0031-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,伤官是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!37
M02-SS-0032-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,偏财是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!38
M02-SS-0033-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,正财是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!39
M02-SS-0034-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,七杀是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!40
M02-SS-0035-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,正官是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!41
M02-SS-0036-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,偏印是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!42
M02-SS-0037-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,正印是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,识别层,正式规则,十神,十神基础映射,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!43
M02-META-0038-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支藏干属于支内潜在之气；未透干不等于不存在，透干也不等于自动旺强。,识别层,正式规则,输出字段,藏干存在性边界,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!44
M02-META-0039-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,地支自身具有阴阳与五行标签，但支内藏干可与地支阴阳不同，例如子为阳支而藏癸阴水。,识别层,正式规则,输出字段,支与藏干层级分离,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!45
M02-META-0040-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,同一干支或藏干面对不同日主会映射为不同十神。,识别层,正式规则,输出字段,十神相对性,,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础!46
M03-ML-0001-V1.0,M0,M0.M03,03_月令与根气,executable_rule,寅月木当令基础,结构层,辅助证据,木五行及所属天干,寅月木得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!7
M03-ML-0002-V1.0,M0,M0.M03,03_月令与根气,executable_rule,卯月木当令基础,结构层,辅助证据,木五行及所属天干,卯月木得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!8
M03-ML-0003-V1.0,M0,M0.M03,03_月令与根气,executable_rule,辰月土当令基础,结构层,辅助证据,土五行及所属天干,辰月土得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!9
M03-ML-0004-V1.0,M0,M0.M03,03_月令与根气,executable_rule,巳月火当令基础,结构层,辅助证据,火五行及所属天干,巳月火得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!10
M03-ML-0005-V1.0,M0,M0.M03,03_月令与根气,executable_rule,午月火当令基础,结构层,辅助证据,火五行及所属天干,午月火得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!11
M03-ML-0006-V1.0,M0,M0.M03,03_月令与根气,executable_rule,未月土当令基础,结构层,辅助证据,土五行及所属天干,未月土得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!12
M03-ML-0007-V1.0,M0,M0.M03,03_月令与根气,executable_rule,申月金当令基础,结构层,辅助证据,金五行及所属天干,申月金得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!13
M03-ML-0008-V1.0,M0,M0.M03,03_月令与根气,executable_rule,酉月金当令基础,结构层,辅助证据,金五行及所属天干,酉月金得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!14
M03-ML-0009-V1.0,M0,M0.M03,03_月令与根气,executable_rule,戌月土当令基础,结构层,辅助证据,土五行及所属天干,戌月土得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!15
M03-ML-0010-V1.0,M0,M0.M03,03_月令与根气,executable_rule,亥月水当令基础,结构层,辅助证据,水五行及所属天干,亥月水得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!16
M03-ML-0011-V1.0,M0,M0.M03,03_月令与根气,executable_rule,子月水当令基础,结构层,辅助证据,水五行及所属天干,子月水得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!17
M03-ML-0012-V1.0,M0,M0.M03,03_月令与根气,executable_rule,丑月土当令基础,结构层,辅助证据,土五行及所属天干,丑月土得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!18
M03-WXR-0013-V1.0,M0,M0.M03,03_月令与根气,executable_rule,季节旺态判定,结构层,辅助证据,任一五行,同类得令,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!19
M03-WXR-0014-V1.0,M0,M0.M03,03_月令与根气,executable_rule,季节相态判定,结构层,辅助证据,任一五行,受令所生,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!20
M03-WXR-0015-V1.0,M0,M0.M03,03_月令与根气,executable_rule,季节休态判定,结构层,辅助证据,任一五行,生令而休,P2_中,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!21
M03-WXR-0016-V1.0,M0,M0.M03,03_月令与根气,executable_rule,季节囚态判定,结构层,辅助证据,任一五行,克令而囚,P2_中,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!22
M03-WXR-0017-V1.0,M0,M0.M03,03_月令与根气,executable_rule,季节死态判定,结构层,辅助证据,任一五行,受令所克,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!23
M03-PROC-0018-V1.0,M0,M0.M03,03_月令与根气,executable_rule,月支必须按节气定界,识别层,硬约束,月支,节气定月,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!24
M03-PROC-0019-V1.0,M0,M0.M03,03_月令与根气,executable_rule,交节边界必须核对精确时刻,识别层,硬约束,月支,交节边界校验,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!25
M03-PROC-0020-V1.0,M0,M0.M03,03_月令与根气,executable_rule,得令是高权重证据而非充分条件,结构层,辅助证据,日主及任一五行,得令非充分条件,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!26
M03-PROC-0021-V1.0,M0,M0.M03,03_月令与根气,executable_rule,月令证据先入原始力量后再修正,结构层,硬约束,五行与日主,原始有效分层,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!27
M03-PROC-0022-V1.0,M0,M0.M03,03_月令与根气,executable_rule,藏干层级不换算固定百分比,结构层,否决规则,地支藏干,禁用固定比例,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!28
M03-PROC-0023-V1.0,M0,M0.M03,03_月令与根气,executable_rule,月令支持与月支通根不得机械双计,结构层,否决规则,日主及五行,月令根气去重,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!29
M03-TGRT-0024-V1.0,M0,M0.M03,03_月令与根气,executable_rule,甲干直接通根支位,结构层,硬约束,天干甲,甲干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!30
M03-TGRT-0025-V1.0,M0,M0.M03,03_月令与根气,executable_rule,乙干直接通根支位,结构层,硬约束,天干乙,乙干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!31
M03-TGRT-0026-V1.0,M0,M0.M03,03_月令与根气,executable_rule,丙干直接通根支位,结构层,硬约束,天干丙,丙干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!32
M03-TGRT-0027-V1.0,M0,M0.M03,03_月令与根气,executable_rule,丁干直接通根支位,结构层,硬约束,天干丁,丁干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!33
M03-TGRT-0028-V1.0,M0,M0.M03,03_月令与根气,executable_rule,戊干直接通根支位,结构层,硬约束,天干戊,戊干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!34
M03-TGRT-0029-V1.0,M0,M0.M03,03_月令与根气,executable_rule,己干直接通根支位,结构层,硬约束,天干己,己干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!35
M03-TGRT-0030-V1.0,M0,M0.M03,03_月令与根气,executable_rule,庚干直接通根支位,结构层,硬约束,天干庚,庚干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!36
M03-TGRT-0031-V1.0,M0,M0.M03,03_月令与根气,executable_rule,辛干直接通根支位,结构层,硬约束,天干辛,辛干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!37
M03-TGRT-0032-V1.0,M0,M0.M03,03_月令与根气,executable_rule,壬干直接通根支位,结构层,硬约束,天干壬,壬干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!38
M03-TGRT-0033-V1.0,M0,M0.M03,03_月令与根气,executable_rule,癸干直接通根支位,结构层,硬约束,天干癸,癸干直接通根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!39
M03-RTLV-0034-V1.0,M0,M0.M03,03_月令与根气,executable_rule,本气直接根默认列为强根,结构层,辅助证据,天干根气,本气强根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!40
M03-RTLV-0035-V1.0,M0,M0.M03,03_月令与根气,executable_rule,中气直接根默认列为中根,结构层,辅助证据,天干根气,中气中根,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!41
M03-RTLV-0036-V1.0,M0,M0.M03,03_月令与根气,executable_rule,余气直接根默认列为弱根,结构层,辅助证据,天干根气,余气弱根,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!42
M03-RTLV-0037-V1.0,M0,M0.M03,03_月令与根气,executable_rule,同五行异阴阳可判同类根,结构层,软约束,天干与五行,同类根,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!43
M03-RTLV-0038-V1.0,M0,M0.M03,03_月令与根气,executable_rule,同类根强度不得照搬直接根,结构层,软约束,天干与五行,同类根独立分级,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!44
M03-RTLV-0039-V1.0,M0,M0.M03,03_月令与根气,executable_rule,无根标签的最低判定条件,结构层,硬约束,天干与五行,无根,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!45
M03-RTCT-0040-V1.0,M0,M0.M03,03_月令与根气,executable_rule,单一弱根只提供有限得地证据,结构层,辅助证据,天干与日主,单一弱根,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!46
M03-RTCT-0041-V1.0,M0,M0.M03,03_月令与根气,executable_rule,多根可以累积但不得机械相加,结构层,辅助证据,天干与五行,多根累积,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!47
M03-RTCT-0042-V1.0,M0,M0.M03,03_月令与根气,executable_rule,月支根具有近令优势但须去重,结构层,辅助证据,日主及五行,月支根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!48
M03-RTCT-0043-V1.0,M0,M0.M03,03_月令与根气,executable_rule,日支根对日主具有近身性,结构层,辅助证据,日主,日支近根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!49
M03-RTCT-0044-V1.0,M0,M0.M03,03_月令与根气,executable_rule,年支与时支之根仍属有效存在,结构层,辅助证据,天干与五行,远位根,P2_中,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!50
M03-RTCT-0045-V1.0,M0,M0.M03,03_月令与根气,executable_rule,同一根支不能对多个天干无限复制力量,结构层,否决规则,多个同类天干,根气共源,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!51
M03-RTEF-0046-V1.0,M0,M0.M03,03_月令与根气,executable_rule,先判根的存在再判根的效应,效应层,硬约束,根气,根气先识别后修正,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!52
M03-RTEF-0047-V1.0,M0,M0.M03,03_月令与根气,executable_rule,相冲不自动等于根气消失,效应层,否决规则,受冲地支之根,冲不必然拔根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!53
M03-RTEF-0048-V1.0,M0,M0.M03,03_月令与根气,executable_rule,相合不自动等于根气被冻结或消失,效应层,否决规则,受合地支之根,合不必然失根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!54
M03-RTEF-0049-V1.0,M0,M0.M03,03_月令与根气,executable_rule,刑害破不自动等于根气被毁,效应层,否决规则,受刑害破地支之根,刑害破不必然毁根,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!55
M03-RTEF-0050-V1.0,M0,M0.M03,03_月令与根气,executable_rule,合化成立后必须重算根气归属,效应层,硬约束,参与合化之根,合化后重算根气,P0_硬约束,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!56
M03-RTEF-0051-V1.0,M0,M0.M03,03_月令与根气,executable_rule,根支受损时降低有效根而非删除基础根,效应层,软约束,受损根支,有效根减弱,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!57
M03-RTEF-0052-V1.0,M0,M0.M03,03_月令与根气,executable_rule,藏干透出可增强根气传导但非存在条件,结构层,辅助证据,藏干与透干,透出增强传导,P2_中,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!58
M03-RTEF-0053-V1.0,M0,M0.M03,03_月令与根气,executable_rule,气候与流通可限制根气功能,结构层,软约束,根气,根存在功能受限,P2_中,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!59
M03-DIM-0054-V1.0,M0,M0.M03,03_月令与根气,executable_rule,得令的定义与输出边界,结构层,硬约束,日主及五行,得令定义,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!60
M03-DIM-0055-V1.0,M0,M0.M03,03_月令与根气,executable_rule,得地的定义与分级,结构层,硬约束,日主及五行,得地定义,P1_高,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!61
M03-DIM-0056-V1.0,M0,M0.M03,03_月令与根气,executable_rule,得势的定义与证据来源,结构层,软约束,日主及五行,得势定义,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!62
M03-DIM-0057-V1.0,M0,M0.M03,03_月令与根气,executable_rule,得令得地得势必须分维度汇总,综合层,硬约束,日主及五行,三维分栏,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!63
M03-EDGE-0058-V1.0,M0,M0.M03,03_月令与根气,executable_rule,无根不自动等于最终身弱或五行弱,综合层,例外规则,日主及五行,无根非必弱,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!64
M03-EDGE-0059-V1.0,M0,M0.M03,03_月令与根气,executable_rule,有根不自动等于最终身旺或五行旺,综合层,例外规则,日主及五行,有根非必旺,P1_高,待验证,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!65
M03-EDGE-0060-V1.0,M0,M0.M03,03_月令与根气,executable_rule,根气结论必须保留原始与有效两套输出,综合层,硬约束,根气与旺衰输出,原始有效双输出,P0_硬约束,采用,是,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,03_月令与根气!66
