global_id,model,module_id,module_name,record_class,source_id,source_version,source_file,source_sheet,source_row,layer,rule_type,applicable_group,rule_name,main_signal,secondary_signal,required_conditions,excluded_conditions,enhancing_conditions,weakening_conditions,exception_conditions,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence,validation_status,audit_status,upstream_dependencies,downstream_consumers,runtime_load,migration_status,native_reference,notes
M02-DZ-0011-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0011-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,17,识别层,正式规则,通用,地支子属阳水；标准藏干为癸本气。地支五行标签与支内各藏干是两个层次。,地支,子,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支子属阳水；标准藏干为癸本气。地支五行标签与支内各藏干是两个层次。,地支子：阳水，藏癸本气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!17,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0012-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0012-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,18,识别层,正式规则,通用,地支丑属阴土；标准藏干为己本气、癸中气、辛余气。地支五行标签与支内各藏干是两个层次。,地支,丑,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支丑属阴土；标准藏干为己本气、癸中气、辛余气。地支五行标签与支内各藏干是两个层次。,地支丑：阴土，藏己本气、癸中气、辛余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!18,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0013-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0013-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,19,识别层,正式规则,通用,地支寅属阳木；标准藏干为甲本气、丙中气、戊余气。地支五行标签与支内各藏干是两个层次。,地支,寅,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支寅属阳木；标准藏干为甲本气、丙中气、戊余气。地支五行标签与支内各藏干是两个层次。,地支寅：阳木，藏甲本气、丙中气、戊余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!19,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0014-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0014-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,20,识别层,正式规则,通用,地支卯属阴木；标准藏干为乙本气。地支五行标签与支内各藏干是两个层次。,地支,卯,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支卯属阴木；标准藏干为乙本气。地支五行标签与支内各藏干是两个层次。,地支卯：阴木，藏乙本气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!20,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0015-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0015-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,21,识别层,正式规则,通用,地支辰属阳土；标准藏干为戊本气、乙中气、癸余气。地支五行标签与支内各藏干是两个层次。,地支,辰,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支辰属阳土；标准藏干为戊本气、乙中气、癸余气。地支五行标签与支内各藏干是两个层次。,地支辰：阳土，藏戊本气、乙中气、癸余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!21,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0016-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0016-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,22,识别层,正式规则,通用,地支巳属阴火；标准藏干为丙本气、戊中气、庚余气。地支五行标签与支内各藏干是两个层次。,地支,巳,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支巳属阴火；标准藏干为丙本气、戊中气、庚余气。地支五行标签与支内各藏干是两个层次。,地支巳：阴火，藏丙本气、戊中气、庚余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!22,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0017-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0017-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,23,识别层,正式规则,通用,地支午属阳火；标准藏干为丁本气、己中气。地支五行标签与支内各藏干是两个层次。,地支,午,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支午属阳火；标准藏干为丁本气、己中气。地支五行标签与支内各藏干是两个层次。,地支午：阳火，藏丁本气、己中气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!23,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0018-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0018-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,24,识别层,正式规则,通用,地支未属阴土；标准藏干为己本气、丁中气、乙余气。地支五行标签与支内各藏干是两个层次。,地支,未,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支未属阴土；标准藏干为己本气、丁中气、乙余气。地支五行标签与支内各藏干是两个层次。,地支未：阴土，藏己本气、丁中气、乙余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!24,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0019-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0019-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,25,识别层,正式规则,通用,地支申属阳金；标准藏干为庚本气、壬中气、戊余气。地支五行标签与支内各藏干是两个层次。,地支,申,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支申属阳金；标准藏干为庚本气、壬中气、戊余气。地支五行标签与支内各藏干是两个层次。,地支申：阳金，藏庚本气、壬中气、戊余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!25,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0020-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0020-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,26,识别层,正式规则,通用,地支酉属阴金；标准藏干为辛本气。地支五行标签与支内各藏干是两个层次。,地支,酉,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支酉属阴金；标准藏干为辛本气。地支五行标签与支内各藏干是两个层次。,地支酉：阴金，藏辛本气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!26,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0021-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0021-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,27,识别层,正式规则,通用,地支戌属阳土；标准藏干为戊本气、辛中气、丁余气。地支五行标签与支内各藏干是两个层次。,地支,戌,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支戌属阳土；标准藏干为戊本气、辛中气、丁余气。地支五行标签与支内各藏干是两个层次。,地支戌：阳土，藏戊本气、辛中气、丁余气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!27,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-DZ-0022-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-DZ-0022-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,28,识别层,正式规则,通用,地支亥属阴水；标准藏干为壬本气、甲中气。地支五行标签与支内各藏干是两个层次。,地支,亥,前置条件：四柱地支已准确识别；必要条件：采用统一十二地支阴阳五行与藏干层级表,,,,例外条件：刑冲合会害破只在M06以后修正藏干的有效性；基础藏干字典不因关系名称自动删除。异说须在M21登记。,,,地支藏干映射,地支亥属阴水；标准藏干为壬本气、甲中气。地支五行标签与支内各藏干是两个层次。,地支亥：阴水，藏壬本气、甲中气。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!28,来源/依据：传统十二地支、人元藏干通行表；《三命通会》《渊海子平》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/三命通會；更新日期：46255
M02-WX-0023-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-WX-0023-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,29,识别层,正式规则,通用,木为五行之一；基础生克方向为水生木、木生火、木克土、金克木。,五行,木,前置条件：判断对象的五行属性已确定；必要条件：采用木火土金水生克循环,,,,例外条件：生克方向是基础关系，不直接代表吉凶、旺衰或实际作用强度；实际效应转M06/M08。,,,五行基础生克,木为五行之一；基础生克方向为水生木、木生火、木克土、金克木。,木的基础生克关系已固定；实际力量与喜忌另行判断。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!29,来源/依据：五行生克通行定义；《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-WX-0024-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-WX-0024-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,30,识别层,正式规则,通用,火为五行之一；基础生克方向为木生火、火生土、火克金、水克火。,五行,火,前置条件：判断对象的五行属性已确定；必要条件：采用木火土金水生克循环,,,,例外条件：生克方向是基础关系，不直接代表吉凶、旺衰或实际作用强度；实际效应转M06/M08。,,,五行基础生克,火为五行之一；基础生克方向为木生火、火生土、火克金、水克火。,火的基础生克关系已固定；实际力量与喜忌另行判断。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!30,来源/依据：五行生克通行定义；《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-WX-0025-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-WX-0025-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,31,识别层,正式规则,通用,土为五行之一；基础生克方向为火生土、土生金、土克水、木克土。,五行,土,前置条件：判断对象的五行属性已确定；必要条件：采用木火土金水生克循环,,,,例外条件：生克方向是基础关系，不直接代表吉凶、旺衰或实际作用强度；实际效应转M06/M08。,,,五行基础生克,土为五行之一；基础生克方向为火生土、土生金、土克水、木克土。,土的基础生克关系已固定；实际力量与喜忌另行判断。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!31,来源/依据：五行生克通行定义；《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-WX-0026-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-WX-0026-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,32,识别层,正式规则,通用,金为五行之一；基础生克方向为土生金、金生水、金克木、火克金。,五行,金,前置条件：判断对象的五行属性已确定；必要条件：采用木火土金水生克循环,,,,例外条件：生克方向是基础关系，不直接代表吉凶、旺衰或实际作用强度；实际效应转M06/M08。,,,五行基础生克,金为五行之一；基础生克方向为土生金、金生水、金克木、火克金。,金的基础生克关系已固定；实际力量与喜忌另行判断。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!32,来源/依据：五行生克通行定义；《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-WX-0027-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-WX-0027-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,33,识别层,正式规则,通用,水为五行之一；基础生克方向为金生水、水生木、水克火、土克水。,五行,水,前置条件：判断对象的五行属性已确定；必要条件：采用木火土金水生克循环,,,,例外条件：生克方向是基础关系，不直接代表吉凶、旺衰或实际作用强度；实际效应转M06/M08。,,,五行基础生克,水为五行之一；基础生克方向为金生水、水生木、水克火、土克水。,水的基础生克关系已固定；实际力量与喜忌另行判断。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!33,来源/依据：五行生克通行定义；《渊海子平》相关基础论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-SS-0028-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-SS-0028-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,34,识别层,正式规则,通用,比肩是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,十神,比肩,前置条件：日主天干及对象天干或藏干均已确定阴阳五行；必要条件：同时满足生克方向“同我”与阴阳关系“同阴阳”,,,,例外条件：地支必须先拆分为各藏干后分别映射；组合、合化或从格不改基础十神名称，但会改变其有效功能。,,,十神基础映射,比肩是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,日主与对象五行相同且阴阳相同，故该对象相对日主为比肩。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!34,来源/依据：十神按日主生克与阴阳同异映射；《渊海子平》《三命通会》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
M02-SS-0029-V1.0,M0,M0.M02,02_干支藏干基础,reference_data,M02-SS-0029-V1.0,V1.0,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,02_干支藏干基础,35,识别层,正式规则,通用,劫财是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,十神,劫财,前置条件：日主天干及对象天干或藏干均已确定阴阳五行；必要条件：同时满足生克方向“同我”与阴阳关系“异阴阳”,,,,例外条件：地支必须先拆分为各藏干后分别映射；组合、合化或从格不改基础十神名称，但会改变其有效功能。,,,十神基础映射,劫财是相对于日主建立的关系标签，不是某个天干或地支的固定属性。,日主与对象五行相同且阴阳相异，故该对象相对日主为劫财。,,确定,采用,初审,无,M03/M04/M05/M07/M09/M10,是,保留原ID；标准化映射,02_干支藏干基础!35,来源/依据：十神按日主生克与阴阳同异映射；《渊海子平》《三命通会》相关论述；流派标签：跨流派共识；页码/链接：https://zh.wikisource.org/wiki/淵海子平；更新日期：46255
