编码类型,编码,中文名称,标准定义,适用字段,排序,是否启用,备注
关系类型,REL17,其他,用于识别干支关系类别；关系存在后须进入效应层判断实际作用。,关系类型,17,是,
位置关系,POS01,同柱,位置关系的标准选项：同柱。具体成立条件由对应模块规则定义。,位置关系,1,是,
位置关系,POS02,相邻,位置关系的标准选项：相邻。具体成立条件由对应模块规则定义。,位置关系,2,是,
位置关系,POS03,隔位,位置关系的标准选项：隔位。具体成立条件由对应模块规则定义。,位置关系,3,是,
位置关系,POS04,遥隔,位置关系的标准选项：遥隔。具体成立条件由对应模块规则定义。,位置关系,4,是,
位置关系,POS05,年月,位置关系的标准选项：年月。具体成立条件由对应模块规则定义。,位置关系,5,是,
位置关系,POS06,月日,位置关系的标准选项：月日。具体成立条件由对应模块规则定义。,位置关系,6,是,
位置关系,POS07,日时,位置关系的标准选项：日时。具体成立条件由对应模块规则定义。,位置关系,7,是,
位置关系,POS08,年日,位置关系的标准选项：年日。具体成立条件由对应模块规则定义。,位置关系,8,是,
位置关系,POS09,年时,位置关系的标准选项：年时。具体成立条件由对应模块规则定义。,位置关系,9,是,
位置关系,POS10,月时,位置关系的标准选项：月时。具体成立条件由对应模块规则定义。,位置关系,10,是,
位置关系,POS11,其他,位置关系的标准选项：其他。具体成立条件由对应模块规则定义。,位置关系,11,是,
完整度,CMP01,缺失,完整度的标准选项：缺失。具体成立条件由对应模块规则定义。,完整度,1,是,
完整度,CMP02,部分,完整度的标准选项：部分。具体成立条件由对应模块规则定义。,完整度,2,是,
完整度,CMP03,完整,完整度的标准选项：完整。具体成立条件由对应模块规则定义。,完整度,3,是,
完整度,CMP04,岁运补齐,完整度的标准选项：岁运补齐。具体成立条件由对应模块规则定义。,完整度,4,是,
完整度,CMP05,待定,完整度的标准选项：待定。具体成立条件由对应模块规则定义。,完整度,5,是,
根气类型,ROOT01,本气根,根气类型的标准选项：本气根。具体成立条件由对应模块规则定义。,根气类型,1,是,
根气类型,ROOT02,中气根,根气类型的标准选项：中气根。具体成立条件由对应模块规则定义。,根气类型,2,是,
根气类型,ROOT03,余气根,根气类型的标准选项：余气根。具体成立条件由对应模块规则定义。,根气类型,3,是,
根气类型,ROOT04,库根,根气类型的标准选项：库根。具体成立条件由对应模块规则定义。,根气类型,4,是,
根气类型,ROOT05,同类根,根气类型的标准选项：同类根。具体成立条件由对应模块规则定义。,根气类型,5,是,
根气类型,ROOT06,无根,根气类型的标准选项：无根。具体成立条件由对应模块规则定义。,根气类型,6,是,
根气类型,ROOT07,其他,根气类型的标准选项：其他。具体成立条件由对应模块规则定义。,根气类型,7,是,
根气等级,RG01,无根,根气等级的标准选项：无根。具体成立条件由对应模块规则定义。,根气等级,1,是,
根气等级,RG02,微根,根气等级的标准选项：微根。具体成立条件由对应模块规则定义。,根气等级,2,是,
根气等级,RG03,弱根,根气等级的标准选项：弱根。具体成立条件由对应模块规则定义。,根气等级,3,是,
根气等级,RG04,中根,根气等级的标准选项：中根。具体成立条件由对应模块规则定义。,根气等级,4,是,
根气等级,RG05,强根,根气等级的标准选项：强根。具体成立条件由对应模块规则定义。,根气等级,5,是,
根气等级,RG06,多重强根,根气等级的标准选项：多重强根。具体成立条件由对应模块规则定义。,根气等级,6,是,
根气等级,RG07,待定,根气等级的标准选项：待定。具体成立条件由对应模块规则定义。,根气等级,7,是,
作用类型,ACT01,生,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,1,是,
作用类型,ACT02,克,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,2,是,
作用类型,ACT03,制,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,3,是,
作用类型,ACT04,化,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,4,是,
作用类型,ACT05,泄,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,5,是,
作用类型,ACT06,耗,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,6,是,
作用类型,ACT07,合绊,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,7,是,
作用类型,ACT08,合住,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,8,是,
作用类型,ACT09,合动,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,9,是,
作用类型,ACT10,合化,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,10,是,
作用类型,ACT11,冲动,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,11,是,
作用类型,ACT12,冲散,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,12,是,
作用类型,ACT13,冲开,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,13,是,
作用类型,ACT14,冲旺,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,14,是,
作用类型,ACT15,冲弱,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,15,是,
作用类型,ACT16,冲去,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,16,是,
作用类型,ACT17,刑动,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,17,是,
作用类型,ACT18,刑伤,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,18,是,
作用类型,ACT19,激活,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,19,是,
作用类型,ACT20,破坏根气,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,20,是,
作用类型,ACT21,引动藏干,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,21,是,
作用类型,ACT22,开库,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,22,是,
作用类型,ACT23,通关,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,23,是,
作用类型,ACT24,阻断,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,24,是,
作用类型,ACT25,润,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,25,是,
作用类型,ACT26,暖,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,26,是,
作用类型,ACT27,燥湿,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,27,是,
作用类型,ACT28,清杂,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,28,是,
作用类型,ACT29,护格,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,29,是,
作用类型,ACT30,救应,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,30,是,
作用类型,ACT31,其他,描述关系或药神的具体作用机制，必须同时记录作用对象和成立条件。,作用类型、效应类型,31,是,
作用方向,DIR01,增强,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,1,是,
作用方向,DIR02,减弱,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,2,是,
作用方向,DIR03,转化,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,3,是,
作用方向,DIR04,冻结,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,4,是,
作用方向,DIR05,激活,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,5,是,
作用方向,DIR06,阻断,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,6,是,
作用方向,DIR07,不变,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,7,是,
作用方向,DIR08,条件性,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,8,是,
作用方向,DIR09,待定,描述力量或功能被增强、减弱、转化、激活或阻断的方向。,作用方向,9,是,
作用等级,EFF01,弱,描述作用强度，必须由月令、根气、透干、路径与叠加关系支持。,作用等级,1,是,
作用等级,EFF02,中,描述作用强度，必须由月令、根气、透干、路径与叠加关系支持。,作用等级,2,是,
作用等级,EFF03,强,描述作用强度，必须由月令、根气、透干、路径与叠加关系支持。,作用等级,3,是,
作用等级,EFF04,决定性,描述作用强度，必须由月令、根气、透干、路径与叠加关系支持。,作用等级,4,是,
作用等级,EFF05,待定,描述作用强度，必须由月令、根气、透干、路径与叠加关系支持。,作用等级,5,是,
优先级,P0,P0_硬约束,用于规则冲突时的顺序控制；P0为硬约束，其余为证据优先度。,优先级,1,是,
优先级,P1,P1_高,用于规则冲突时的顺序控制；P0为硬约束，其余为证据优先度。,优先级,2,是,
优先级,P2,P2_中,用于规则冲突时的顺序控制；P0为硬约束，其余为证据优先度。,优先级,3,是,
优先级,P3,P3_低,用于规则冲突时的顺序控制；P0为硬约束，其余为证据优先度。,优先级,4,是,
规则性质,RTP01,硬约束,成立时必须满足；违反即不能接受对应结论。,规则性质,1,是,
规则性质,RTP02,软约束,提供倾向性判断，需要与其他证据共同使用。,规则性质,2,是,
规则性质,RTP03,辅助证据,仅增加或削弱候选结论置信度，不能单独定性。,规则性质,3,是,
规则性质,RTP04,否决规则,出现即推翻某一候选结论或迫使其降级。,规则性质,4,是,
规则性质,RTP05,例外规则,在特定边界情境下修正一般规则。,规则性质,5,是,
置信等级,CONF01,确定,客观映射或充分条件明确，反证空间很小。,置信等级,1,是,
置信等级,CONF02,较高,主要证据一致，存在少量边界或流派差异。,置信等级,2,是,
置信等级,CONF03,中等,证据有冲突或依赖尚未完全验证，需要保留条件。,置信等级,3,是,
置信等级,CONF04,低,证据不足、边界较大或只可作为探索性判断。,置信等级,4,是,
置信等级,CONF05,待验证,尚未通过文献、案例或回归测试。,置信等级,5,是,
流派标签,SCH01,子平格局,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,1,是,
流派标签,SCH02,旺衰扶抑,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,2,是,
流派标签,SCH03,调候,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,3,是,
流派标签,SCH04,病药,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,4,是,
流派标签,SCH05,盲派象法,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,5,是,
流派标签,SCH06,现代综合,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,6,是,
流派标签,SCH07,跨流派共识,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,7,是,
流派标签,SCH08,待定,标记规则的理论来源或适用体系，发生分歧时转入M21治理。,流派标签,8,是,
规则状态,RST01,草稿,标记规则在知识库生命周期中的采用与验证状态。,规则状态,1,是,
规则状态,RST02,待验证,标记规则在知识库生命周期中的采用与验证状态。,规则状态,2,是,
规则状态,RST03,已验证,标记规则在知识库生命周期中的采用与验证状态。,规则状态,3,是,
规则状态,RST04,采用,标记规则在知识库生命周期中的采用与验证状态。,规则状态,4,是,
规则状态,RST05,停用,标记规则在知识库生命周期中的采用与验证状态。,规则状态,5,是,
规则状态,RST06,示例,标记规则在知识库生命周期中的采用与验证状态。,规则状态,6,是,
审核状态,REV01,未审核,标记规则是否完成初审、复审与正式通过。,审核状态,1,是,
审核状态,REV02,初审,标记规则是否完成初审、复审与正式通过。,审核状态,2,是,
审核状态,REV03,复审,标记规则是否完成初审、复审与正式通过。,审核状态,3,是,
审核状态,REV04,已通过,标记规则是否完成初审、复审与正式通过。,审核状态,4,是,
审核状态,REV05,退回,标记规则是否完成初审、复审与正式通过。,审核状态,5,是,
旺衰等级,WS1,极弱,有效根、源与同党极少，且受制泄耗成势。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,1,是,
旺衰等级,WS2,弱,生扶与承载明显不足，但尚未达到从弱或完全失根。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,2,是,
旺衰等级,WS3,中和偏弱,整体接近平衡，克泄耗略占优势。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,3,是,
旺衰等级,WS4,中和,生扶与克泄耗大致均衡，无明显一方主导。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,4,是,
旺衰等级,WS5,中和偏旺,整体接近平衡，得令、根助或同党略占优势。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,5,是,
旺衰等级,WS6,旺,生扶、根气或成势明显，克泄耗不足以制衡。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,6,是,
旺衰等级,WS7,极旺,力量高度集中成势，普通制衡逻辑需谨慎并审特殊格局。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,7,是,
旺衰等级,WS0,待定,旺衰等级的标准选项：待定。具体成立条件由对应模块规则定义。,原始力量、对象原始旺衰、旺衰候选、有效力量、桥梁强度、起点强度,8,是,
成立等级,EST01,不成立,成立等级的标准选项：不成立。具体成立条件由对应模块规则定义。,成立等级,1,是,
成立等级,EST02,弱成立,成立等级的标准选项：弱成立。具体成立条件由对应模块规则定义。,成立等级,2,是,
成立等级,EST03,基本成立,成立等级的标准选项：基本成立。具体成立条件由对应模块规则定义。,成立等级,3,是,
成立等级,EST04,明显成立,成立等级的标准选项：明显成立。具体成立条件由对应模块规则定义。,成立等级,4,是,
成立等级,EST05,完整成立,成立等级的标准选项：完整成立。具体成立条件由对应模块规则定义。,成立等级,5,是,
成立等级,EST06,待定,成立等级的标准选项：待定。具体成立条件由对应模块规则定义。,成立等级,6,是,
可用性,AVL01,有效,可用性的标准选项：有效。具体成立条件由对应模块规则定义。,调候五行有效性,1,是,
可用性,AVL02,受限,可用性的标准选项：受限。具体成立条件由对应模块规则定义。,调候五行有效性,2,是,
可用性,AVL03,失效,可用性的标准选项：失效。具体成立条件由对应模块规则定义。,调候五行有效性,3,是,
可用性,AVL04,过度,可用性的标准选项：过度。具体成立条件由对应模块规则定义。,调候五行有效性,4,是,
可用性,AVL05,待定,可用性的标准选项：待定。具体成立条件由对应模块规则定义。,调候五行有效性,5,是,
是否条件,YNC01,是,是否条件的标准选项：是。具体成立条件由对应模块规则定义。,与扶抑冲突、与格局冲突、是否上升为格局、是否产生新病、是否伤害格局、是否减力、是否可单独定性、是否增力、是否影响流通、是否改变五行性质、是否改变根气、是否改变生源、是否改变藏干可用性、是否改变透达、是否条件性、调候五行存在性,1,是,
是否条件,YNC02,否,是否条件的标准选项：否。具体成立条件由对应模块规则定义。,与扶抑冲突、与格局冲突、是否上升为格局、是否产生新病、是否伤害格局、是否减力、是否可单独定性、是否增力、是否影响流通、是否改变五行性质、是否改变根气、是否改变生源、是否改变藏干可用性、是否改变透达、是否条件性、调候五行存在性,2,是,
是否条件,YNC03,条件性,是否条件的标准选项：条件性。具体成立条件由对应模块规则定义。,与扶抑冲突、与格局冲突、是否上升为格局、是否产生新病、是否伤害格局、是否减力、是否可单独定性、是否增力、是否影响流通、是否改变五行性质、是否改变根气、是否改变生源、是否改变藏干可用性、是否改变透达、是否条件性、调候五行存在性,3,是,
是否条件,YNC04,待定,是否条件的标准选项：待定。具体成立条件由对应模块规则定义。,与扶抑冲突、与格局冲突、是否上升为格局、是否产生新病、是否伤害格局、是否减力、是否可单独定性、是否增力、是否影响流通、是否改变五行性质、是否改变根气、是否改变生源、是否改变藏干可用性、是否改变透达、是否条件性、调候五行存在性,4,是,
十神,SG-BJ,比肩,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,1,是,
十神,SG-JC,劫财,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,2,是,
十神,SG-SS,食神,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,3,是,
十神,SG-SG,伤官,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,4,是,
十神,SG-PC,偏财,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,5,是,
十神,SG-ZC,正财,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,6,是,
十神,SG-QS,七杀,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,7,是,
十神,SG-ZG,正官,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,8,是,
十神,SG-PY,偏印,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,9,是,
十神,SG-ZY,正印,相对日主的生克与阴阳关系映射，旺衰、功能和喜忌需分别判断。,十神、对应十神,10,是,
十神存在方式,EXI01,透干,十神存在方式的标准选项：透干。具体成立条件由对应模块规则定义。,存在方式,1,是,
十神存在方式,EXI02,藏支本气,十神存在方式的标准选项：藏支本气。具体成立条件由对应模块规则定义。,存在方式,2,是,
十神存在方式,EXI03,藏支中气,十神存在方式的标准选项：藏支中气。具体成立条件由对应模块规则定义。,存在方式,3,是,
十神存在方式,EXI04,藏支余气,十神存在方式的标准选项：藏支余气。具体成立条件由对应模块规则定义。,存在方式,4,是,
十神存在方式,EXI05,多处出现,十神存在方式的标准选项：多处出现。具体成立条件由对应模块规则定义。,存在方式,5,是,
十神存在方式,EXI06,完全不现,十神存在方式的标准选项：完全不现。具体成立条件由对应模块规则定义。,存在方式,6,是,
十神存在方式,EXI07,待定,十神存在方式的标准选项：待定。具体成立条件由对应模块规则定义。,存在方式,7,是,
十神功能状态,SGF01,正常发挥,十神功能状态的标准选项：正常发挥。具体成立条件由对应模块规则定义。,功能状态,1,是,
十神功能状态,SGF02,受限,十神功能状态的标准选项：受限。具体成立条件由对应模块规则定义。,功能状态,2,是,
十神功能状态,SGF03,转化,十神功能状态的标准选项：转化。具体成立条件由对应模块规则定义。,功能状态,3,是,
十神功能状态,SGF04,失效,十神功能状态的标准选项：失效。具体成立条件由对应模块规则定义。,功能状态,4,是,
十神功能状态,SGF05,过度,十神功能状态的标准选项：过度。具体成立条件由对应模块规则定义。,功能状态,5,是,
十神功能状态,SGF06,制化平衡,十神功能状态的标准选项：制化平衡。具体成立条件由对应模块规则定义。,功能状态,6,是,
十神功能状态,SGF07,制化失衡,十神功能状态的标准选项：制化失衡。具体成立条件由对应模块规则定义。,功能状态,7,是,
十神功能状态,SGF08,待定,十神功能状态的标准选项：待定。具体成立条件由对应模块规则定义。,功能状态,8,是,
喜忌定位,YJ01,主用神,直接解决全局首要矛盾，且副作用可控的第一顺位五行或十神。,喜忌候选、综合定位,1,是,
喜忌定位,YJ02,辅助用神,协助主用完成制化、承载、通关或护格的次级用神。,喜忌候选、综合定位,2,是,
喜忌定位,YJ03,喜神,总体有利但不直接承担首要治病或成格功能。,喜忌候选、综合定位,3,是,
喜忌定位,YJ04,条件性喜神,只在明确条件满足时有利，条件不满足可能转为中性或忌。,喜忌候选、综合定位,4,是,
喜忌定位,YJ05,中性,对全局主要矛盾影响有限，或正负作用大致相抵。,喜忌候选、综合定位,5,是,
喜忌定位,YJ06,条件性忌神,在某些结构或强度下造成问题，非无条件为忌。,喜忌候选、综合定位,6,是,
喜忌定位,YJ07,忌神,明显强化原局之病、破坏格局或加重失衡。,喜忌候选、综合定位,7,是,
喜忌定位,YJ08,仇神,生助忌神、克制用神或破坏救应的间接不利力量。,喜忌候选、综合定位,8,是,
喜忌定位,YJ09,待定,喜忌定位的标准选项：待定。具体成立条件由对应模块规则定义。,喜忌候选、综合定位,9,是,
格局类别,GCT01,普通格局,格局类别的标准选项：普通格局。具体成立条件由对应模块规则定义。,格局类别,1,是,
格局类别,GCT02,建禄羊刃,格局类别的标准选项：建禄羊刃。具体成立条件由对应模块规则定义。,格局类别,2,是,
格局类别,GCT03,特殊格局,格局类别的标准选项：特殊格局。具体成立条件由对应模块规则定义。,格局类别,3,是,
格局类别,GCT04,从格,格局类别的标准选项：从格。具体成立条件由对应模块规则定义。,格局类别,4,是,
格局类别,GCT05,化气格,格局类别的标准选项：化气格。具体成立条件由对应模块规则定义。,格局类别,5,是,
格局类别,GCT06,专旺候选,格局类别的标准选项：专旺候选。具体成立条件由对应模块规则定义。,格局类别,6,是,
格局类别,GCT07,其他,格局类别的标准选项：其他。具体成立条件由对应模块规则定义。,格局类别,7,是,
格局状态,GST01,不成立,候选缺少必要条件或存在明确否决条件。,候选状态、格局状态,1,是,
格局状态,GST02,候选,具备初步依据，尚未完成成败、破格和救应检验。,候选状态、格局状态,2,是,
格局状态,GST03,基本成立,核心条件满足，但清纯度、稳定性或比例仍有不足。,候选状态、格局状态,3,是,
格局状态,GST04,成立但有破,核心格局成立，同时存在未被修复的破格因素。,候选状态、格局状态,4,是,
格局状态,GST05,有破有救,存在破格因素，但有实际有效的救应机制。,候选状态、格局状态,5,是,
格局状态,GST06,清纯成立,核心条件完整，杂乱与破坏较少，运行相对稳定。,候选状态、格局状态,6,是,
格局状态,GST07,特殊格局严格成立,从格、化气格等全部关键硬条件成立，普通扶抑需让位。,候选状态、格局状态,7,是,
格局状态,GST08,待定,格局状态的标准选项：待定。具体成立条件由对应模块规则定义。,候选状态、格局状态,8,是,
清纯程度,CLR01,清纯,清纯程度的标准选项：清纯。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,1,是,
清纯程度,CLR02,较清,清纯程度的标准选项：较清。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,2,是,
清纯程度,CLR03,有杂,清纯程度的标准选项：有杂。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,3,是,
清纯程度,CLR04,混杂,清纯程度的标准选项：混杂。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,4,是,
清纯程度,CLR05,严重混杂,清纯程度的标准选项：严重混杂。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,5,是,
清纯程度,CLR06,待定,清纯程度的标准选项：待定。具体成立条件由对应模块规则定义。,主气清纯度、清纯程度,6,是,
破格等级,BRK01,无破,破格等级的标准选项：无破。具体成立条件由对应模块规则定义。,破格等级,1,是,
破格等级,BRK02,轻微,破格等级的标准选项：轻微。具体成立条件由对应模块规则定义。,破格等级,2,是,
破格等级,BRK03,一般,破格等级的标准选项：一般。具体成立条件由对应模块规则定义。,破格等级,3,是,
破格等级,BRK04,严重,破格等级的标准选项：严重。具体成立条件由对应模块规则定义。,破格等级,4,是,
破格等级,BRK05,根本破格,破格等级的标准选项：根本破格。具体成立条件由对应模块规则定义。,破格等级,5,是,
破格等级,BRK06,待定,破格等级的标准选项：待定。具体成立条件由对应模块规则定义。,破格等级,6,是,
救应有效性,RES01,无救应,救应有效性的标准选项：无救应。具体成立条件由对应模块规则定义。,救应有效性,1,是,
