system_module_id,model,native_module,module_name,version,record_count,record_class,responsibility,upstream,outputs,downstream,authority,runtime_status,validation_status,source_file,notes
M0.M18,M0,M18,18_冲突裁决规则,1.9,80,executable_rule,处理扶抑、格局、调候、通关和病药结论冲突。记录硬约束、优先规则、降级规则、反向证据和副作用控制。,M14/M15/M16/M17,跨模块裁决、降级与条件性结论,M19/M20/M21,跨模块裁决、降级与条件性结论,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入80条：通用8、特殊格局8、格局冲突8、调候冲突8、流通冲突8、病药冲突10、具体路线10、剂量8、最终定位8、边界4；M17占位引用已回填。
M0.M19,M0,M19,19_综合输出模板,1.9,45,output_contract,规定M0分析必须输出的章节、字段、数据来源、内部分析表达与用户表达。此表把底层结论转成稳定、可追溯的报告结构。,M02-M18,统一结构化输出字段与用户表达,上层婚恋/事业/财富/岁运模型,统一结构化输出字段与用户表达,启用,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入45个正式字段：报告信息3、基础结构4、干支关系3、五行旺衰3、日主4、十神4、组合3、流通4、调候4、格局5、病药4、喜忌与综合4。
M0.M20,M0,M20,20_案例测试,1.9,150,test_case,保存案例输入、中间识别、效应、结构与综合预期结果，对目标Rule_ID做正例、反例、边界与回归测试。不得只保存最终喜忌。,M02-M19,规则通过率、反例与修订线索,M21及所有模块,规则通过率、反例与修订线索,开发/治理,初审/待真实命例持续回归,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,已录入150例：基础10、关系18、效应14、旺衰14、十神18、流通10、调候10、格局14、病药10、用神10、输出5、综合10、回归5、争议2；含自动结果与覆盖看板。
M1.CORE,M1,CORE,心动偏好核心,0.2,94,executable_rule,心动入口与偏好，不负责关系准入、相处、风险或长期适配,M0.M08/M09/M10/M17/M18/M19,由原子规则output_slot定义,M2.SYNTH/M4.GAP/M5.GAP/M5.SYNTH,心动入口与偏好，不负责关系准入、相处、风险或长期适配,启用,核心规则完成；待案例验证,M1_CORE_核心规则原子表_V0.2.csv,
M2.GATE,M2,GATE,夫妻宫关系门槛,0.2,106,executable_rule,夫妻宫关系门槛,M0.M03/M05/M06/M08/M09/M10/M19,由原子规则output_slot定义,M2.SELF/M2.FLOW/M2.DUAL/M2.TEMPO/M2.SYNTH,夫妻宫关系门槛,启用,完成；待验证,M2_GATE_夫妻宫门槛原子表_V0.2.csv,
M2.CORE,M2,CORE,夫妻星关系准入,0.3,122,executable_rule,夫妻星关系准入,M0.M08/M09/M10/M17/M18/M19,由原子规则output_slot定义,M2.SELF/M2.FLOW/M2.DUAL/M2.TEMPO/M2.SYNTH,夫妻星关系准入,启用,完成；待验证,M2_CORE_夫妻星准入规则原子表_V0.3.csv,
M2.SELF,M2,SELF,自我选择位置,0.4,144,executable_rule,命主自身选择位置,M2.GATE/M2.CORE/M0.M09/M10,由原子规则output_slot定义,M2.FLOW/M2.DUAL/M2.TEMPO/M2.SYNTH,命主自身选择位置,启用,完成；待验证,M2_SELF_自我选择位置原子规则表_V0.4.csv,
M2.FLOW,M2,FLOW,关系确认路径,0.5,168,executable_rule,确认路径与关系进入顺序,M2.GATE/M2.CORE/M2.SELF/M0.M11/M12/M16,由原子规则output_slot定义,M2.DUAL/M2.TEMPO/M2.SYNTH,确认路径与关系进入顺序,启用,完成；待验证,M2_FLOW_确认路径原子规则表_V0.5.csv,
M2.DUAL,M2,DUAL,双重门槛与正偏并见,0.6,193,executable_rule,正偏并见与双重门槛,M2.GATE/M2.CORE/M2.SELF/M2.FLOW,由原子规则output_slot定义,M2.TEMPO/M2.SYNTH,正偏并见与双重门槛,启用,完成；待验证,M2_DUAL_双重门槛与正偏并见原子规则表_V0.6.csv,
M2.TEMPO,M2,TEMPO,确认与进入节奏,0.7,196,executable_rule,进入关系前的确认节奏,M2.GATE/M2.CORE/M2.SELF/M2.FLOW/M2.DUAL,由原子规则output_slot定义,M2.SYNTH/M5.RHYTHM/M5.GAP,进入关系前的确认节奏,启用,完成；待验证,M2_TEMPO_确认与进入节奏原子规则表_V0.7.csv,
M2.SYNTH,M2,SYNTH,关系选择总合成,0.8,180,executable_rule,关系准入、选择与确认总结果,M1.CORE/M2.GATE/M2.CORE/M2.SELF/M2.FLOW/M2.DUAL/M2.TEMPO,由原子规则output_slot定义,M3.BASE/M4.BASE/M5.GAP/M5.SYNTH,关系准入、选择与确认总结果,启用,总合成完成；待验证,M2_SYNTH_总合成规则原子表_V0.8.csv,
M3.BASE,M3,BASE,关系运行底盘,0.2,206,executable_rule,进入关系后的运行底盘,M0.M02-M10/M2.SYNTH,由原子规则output_slot定义,M3.EXPR/M3.CARE/M3.BOUND/M3.CONFLICT/M4.BASE/M5.GAP,进入关系后的运行底盘,启用,完成；M3总合成待补,M3_BASE_关系运行底盘原子规则表_V0.2.csv,M3总合成缺口
M3.EXPR,M3,EXPR,情感表达与沟通,0.3,220,executable_rule,表达与沟通惯性,M3.BASE/M0.M10/M11,由原子规则output_slot定义,M3.CONFLICT/M4.BASE/M5.RHYTHM,表达与沟通惯性,启用,完成；待验证,M3_EXPR_情感表达与沟通原子规则表_V0.3.csv,M3总合成缺口
M3.CARE,M3,CARE,付出照顾与支持交换,0.4,236,executable_rule,付出照顾与支持交换惯性,M3.BASE/M0.M10/M11,由原子规则output_slot定义,M4.BASE/M5.EXCHANGE/M5.RHYTHM,付出照顾与支持交换惯性,启用,完成；待验证,M3_CARE_付出照顾与支持交换原子规则表_V0.4.csv,M3总合成缺口
M3.BOUND,M3,BOUND,亲密距离、依赖与边界,0.5,260,executable_rule,亲密距离与边界惯性,M3.BASE/M0.M05/M06/M10,由原子规则output_slot定义,M3.CONFLICT/M4.BASE/M5.BOUND/M5.RHYTHM,亲密距离与边界惯性,启用,完成；待验证,M3_BOUND_亲密距离依赖与边界原子规则表_V0.5.csv,M3总合成缺口
M3.CONFLICT,M3,CONFLICT,分歧响应与冲突处理,0.6,280,executable_rule,第一分歧响应与冲突处理惯性,M3.BASE/M3.EXPR/M3.CARE/M3.BOUND,由原子规则output_slot定义,M4.TRIGGER/M4.LOOP/M4.REPAIR/M5.REPAIR/M5.RHYTHM,第一分歧响应与冲突处理惯性,部分启用,完成；M3-REPAIR/STATE/SYNTH待补,M3_CONFLICT_分歧响应与冲突处理原子规则表_V0.6.csv,M3总合成缺口
M4.BASE,M4,BASE,失衡候选底盘,0.2,280,executable_rule,失衡候选与主风险底盘,M0/M1/M2/M3,由原子规则output_slot定义,M4.MISREAD/M4.OVERUSE/M4.TRIGGER/M4.LOOP/M4.REPAIR/M4.BUFFER/M4.SYNTH,失衡候选与主风险底盘,启用,完成；待验证,M4_BASE_失衡候选底盘原子规则表_V0.2.csv,
M4.MISREAD,M4,MISREAD,关系识别与证据误读,0.3,320,executable_rule,关系识别与证据误读,M4.BASE/M1/M2,由原子规则output_slot定义,M4.OVERUSE/M4.TRIGGER/M4.LOOP/M4.SYNTH,关系识别与证据误读,启用,完成；待验证,M4_MISREAD_关系识别与证据误读原子规则表_V0.3.csv,
M4.OVERUSE,M4,OVERUSE,功能过用、不足与竞争,0.4,360,executable_rule,功能过用、不足与竞争,M4.BASE/M4.MISREAD/M3,由原子规则output_slot定义,M4.TRIGGER/M4.LOOP/M4.REPAIR/M4.BUFFER/M4.SYNTH,功能过用、不足与竞争,启用,完成；待验证,M4_OVERUSE_功能过用不足与竞争原子规则表_V0.4.csv,
M4.TRIGGER,M4,TRIGGER,触发条件、阈值与状态切换,0.5,400,executable_rule,触发条件、阈值和状态切换,M4.BASE/M4.MISREAD/M4.OVERUSE/M3.CONFLICT,由原子规则output_slot定义,M4.LOOP/M4.REPAIR/M4.BUFFER/M4.SYNTH,触发条件、阈值和状态切换,启用,完成；待验证,M4_TRIGGER_触发条件阈值与状态切换原子规则表_V0.5.csv,
M4.LOOP,M4,LOOP,重复互动循环,0.6,440,executable_rule,重复互动循环,M4.TRIGGER/M4.OVERUSE/M3.CONFLICT,由原子规则output_slot定义,M4.REPAIR/M4.BUFFER/M4.SYNTH,重复互动循环,启用,完成；待验证,M4_LOOP_重复互动循环原子规则表_V0.6.csv,
M4.REPAIR,M4,REPAIR,修复卡点与回流断点,0.7,480,executable_rule,修复卡点与回流断点,M4.LOOP/M4.TRIGGER/M3.CONFLICT,由原子规则output_slot定义,M4.BUFFER/M4.SYNTH/M5.REPAIR,修复卡点与回流断点,启用,完成；待验证,M4_REPAIR_修复卡点与回流断点原子规则表_V0.7.csv,
M4.BUFFER,M4,BUFFER,调节保护与病药接口,0.8,520,executable_rule,保护、调节与病药接口,M0.M12/M16/M17/M18/M4.REPAIR,由原子规则output_slot定义,M4.SYNTH/M5.BASE/M5.REPAIR/M5.RHYTHM,保护、调节与病药接口,启用,完成；待验证,M4_BUFFER_调节保护与病药接口原子规则表_V0.8.csv,
M4.SYNTH,M4,SYNTH,关系盲点总合成,0.9,240,executable_rule,关系盲点、风险、保护和证据总合成,M4.BASE/MISREAD/OVERUSE/TRIGGER/LOOP/REPAIR/BUFFER,由原子规则output_slot定义,M5.BASE/M5.GAP/M5.SYNTH,关系盲点、风险、保护和证据总合成,启用,总合成完成；待验证,M4_SYNTH_总合成规则原子表_V0.9.csv,
M5.BASE,M5,BASE,适配需求底盘与核心必要条件,0.2,368,executable_rule,长期适配核心需要,M0/M1/M2/M3/M4.SYNTH,由原子规则output_slot定义,M5.PARTNER/M5.EXCHANGE/M5.BOUND/M5.REPAIR/M5.RHYTHM/M5.GAP/M5.SYNTH,长期适配核心需要,启用,完成；待验证,M5_BASE_适配需求底盘与核心必要条件原子规则表_V0.2.csv,
M5.PARTNER,M5,PARTNER,伴侣功能画像与可观察行为,0.3,440,executable_rule,具体对象可观察功能,M5.BASE/M2/M3/M4,由原子规则output_slot定义,M5.EXCHANGE/M5.BOUND/M5.REPAIR/M5.RHYTHM/M5.GAP/M5.SYNTH,具体对象可观察功能,启用,完成；待验证,M5_PARTNER_伴侣功能画像与可观察行为原子规则表_V0.3.csv,
M5.EXCHANGE,M5,EXCHANGE,表达、支持、投入与双向交换,0.4,480,executable_rule,双向交换与负荷回流,M5.BASE/M5.PARTNER/M3.CARE/M4,由原子规则output_slot定义,M5.BOUND/M5.REPAIR/M5.RHYTHM/M5.GAP/M5.SYNTH,双向交换与负荷回流,启用,完成；待验证,M5_EXCHANGE_表达支持投入与双向交换原子规则表_V0.4.csv,
M5.BOUND,M5,BOUND,边界、决定权、资源与亲密空间,0.5,520,executable_rule,边界、决定权、资源与亲密空间,M5.BASE/M5.PARTNER/M5.EXCHANGE/M3.BOUND/M4,由原子规则output_slot定义,M5.REPAIR/M5.RHYTHM/M5.GAP/M5.SYNTH,边界、决定权、资源与亲密空间,启用,完成；待验证,M5_BOUND_边界决定权资源与亲密空间原子规则表_V0.5.csv,
M5.REPAIR,M5,REPAIR,冲突顺序、修复协议与状态协同,0.6,560,executable_rule,关系修复协议与重新开放,M5.BASE/PARTNER/EXCHANGE/BOUND/M4.REPAIR,由原子规则output_slot定义,M5.RHYTHM/M5.GAP/M5.SYNTH,关系修复协议与重新开放,启用,完成；M3状态接口待回填,M5_REPAIR_冲突顺序修复协议与状态协同原子规则表_V0.6.csv,
M5.RHYTHM,M5,RHYTHM,推进节奏、生活协同与关系气候,0.7,600,executable_rule,长期生活与关系节奏,M2.TEMPO/M3/M4/M5.BASE/PARTNER/EXCHANGE/BOUND/REPAIR,由原子规则output_slot定义,M5.GAP/M5.SYNTH,长期生活与关系节奏,启用,完成；M3-STATE接口待回填,M5_RHYTHM_推进节奏生活协同与关系气候原子规则表_V0.7.csv,
M5.GAP,M5,GAP,心动、准入、相处、盲点与适配差异,0.8,640,executable_rule,心动、准入、相处、盲点与适配差异,M1/M2/M3/M4/M5.BASE-PHYTHM,由原子规则output_slot定义,M5.SYNTH,心动、准入、相处、盲点与适配差异,启用,完成；待验证,M5_GAP_心动准入相处盲点与适配差异原子规则表_V0.8.csv,
M5.SYNTH,M5,SYNTH,关系适配总合成,0.9,320,executable_rule,现实门槛、AF、FG、主次裁决与最终报告,M5.BASE/PARTNER/EXCHANGE/BOUND/REPAIR/RHYTHM/GAP＋现实RG,由原子规则output_slot定义,统一报告/JSON/校准,现实门槛、AF、FG、主次裁决与最终报告,启用,总合成完成；待真实案例校准,M5_SYNTH_总合成规则原子表_V0.9.csv,
