Field_ID,json_key,输出章节,章节顺序,字段名称,字段定义,来源模块,来源字段/Rule_ID,必填性,输出层级,数据类型,推荐格式,空值处理,冲突处理
M19-TEN-0019-V1.0,dominant_ten_gods,十神功能,6,主要有力十神及其功能,列出对全局作用最明显的1—3个十神，说明其有效功能和作用对象。,M10/M14/M15,有效力量；正常发挥/制化平衡；格局功能；对日主作用,必填,三层通用,长文本,十神｜力量｜主要功能｜作用对象,没有明显主导十神时写“十神力量分散，无单一主导者”。,多个十神竞争主导时按M18-PATTERN-0024-V1.0排序。
M19-TEN-0020-V1.0,constrained_or_overused_ten_gods,十神功能,6,受限、失效或过度十神,记录力量虽存在但功能受限、转化、失效、过度或制化失衡的十神。,M10/M11/M16,功能状态；制约原因；功能副作用；病位,必填,三层通用,长文本,十神｜状态｜原因｜后果,无受限项时写“未见关键十神明显失效或过度”。,功能过度与格局需要冲突时按M18-GEN-0005-V1.0、M18-PATTERN-0022-V1.0裁决。
M19-TEN-0021-V1.0,ten_god_purity,十神功能,6,十神清纯度与混杂,判断官杀、食伤、印枭、正偏财等是否清纯、有杂、混杂及主从关系。,M10/M11/M15,清纯程度；正偏并见；主从；清化；混杂影响,必填,分析师输出,枚举,清纯等级＋混杂对象＋主从/清化结论,无同类正偏并见时写“较清/清纯”；不得空白。,混杂是否影响格局按M18-PATTERN-0024-V1.0与M18-ROUTE-0059-V1.0裁决。
M19-COMBO-0022-V1.0,established_ten_god_combinations,十神组合,7,已成立十神组合,输出达到弱成立以上的生化、制化、平衡承载或冲突组合及成立等级。,M11,组合名称；核心十神；作用路径；成立等级；实际功能；破坏；救应,必填,三层通用,多值标签,组合｜成立等级｜作用路径｜实际功能,无组合达到弱成立时写“未见可稳定成立的十神组合”。,多个组合共享节点时按M18-GEN-0006-V1.0和M18-DOSE-0065-V1.0处理容量。
M19-COMBO-0023-V1.0,weak_or_rejected_combinations,十神组合,7,弱成立、不成立与被否决组合,记录表面十神齐全但因力量、位置、承载、破坏或救应不足而降级的组合。,M11,最低成立标准；破坏条件；否决条件；弱成立/不成立原因,条件必填,内部推理,长文本,组合｜状态｜未满足条件｜否决Rule_ID,无被否决候选时写“无”。,证据接近时按M18-GEN-0008-V1.0保留弱成立和不成立两种条件。
M19-COMBO-0024-V1.0,dominant_function_chain,十神组合,7,主导生化、制化与承载功能,从全部组合中提取覆盖全局最广、对格局和病药最关键的主导功能轴。,M11/M12/M15/M16,主组合；作用路径；格局支持；病位修复；共享节点,必填,三层通用,长文本,主功能轴＋次功能轴＋主次依据,无稳定主组合时写“当前以单点作用为主，未形成连续主导组合”。,多路线竞争按M18-ROUTE-0051-V1.0—M18-ROUTE-0060-V1.0择主路线；证据同源需去重。
M19-FLOW-0025-V1.0,main_flow_path,五行流通,8,主流通路径,输出覆盖核心五行、十神组合和格局功能的1—3条主要起点—桥梁—终点路径。,M12,主流通路径；起点强度；桥梁状态；终点承载；流通状态,必填,三层通用,长文本,起点→桥梁→终点｜状态｜承担功能,没有完整路径时写“未形成完整连续主路径”，并说明最接近的候选链。,多条路径竞争时按M18-FLOW-0037-V1.0与M18-GEN-0004-V1.0排序主次。
M19-FLOW-0026-V1.0,primary_flow_block,五行流通,8,主卡点,指出对全局影响最大、阻断主路径或核心组合的首要卡点及根因。,M12/M16,卡点类型；卡点位置；卡点原因；严重度；共同根因,必填,三层通用,长文本,位置｜类型｜根因｜影响范围｜严重度,无明显卡点时写“主路径基本通畅，未见需要列为根本问题的卡点”。,多个卡点并存按M18-GEN-0003-V1.0、M18-FLOW-0033-V1.0与M16主病排序。
M19-FLOW-0027-V1.0,secondary_blocks_and_alternatives,五行流通,8,次级卡点与替代路径,记录1—3个次级卡点、它们与主卡点的关系及可用替代路径。,M12/M16/M18,次级卡点；替代桥梁；下游次生卡点；M18-FLOW-0037-V1.0—M18-FLOW-0040-V1.0,条件必填,分析师输出,长文本,次卡点｜与主病关系｜替代路径｜限制,无次级卡点时写“无明显独立次级卡点”。,表层弱点若由主卡点自动引发，按M18-GEN-0003-V1.0降为次级，不重复立病。
M19-FLOW-0028-V1.0,bridge_candidates_and_side_effects,五行流通,8,通关候选、有效性与副作用,列出通关五行、双向作用条件、实际药力、适用边界及可能的格局调候副作用。,M12/M13/M16/M17/M18,通关五行；通关条件；药力；主要副作用；M18-FLOW-0034-V1.0—M18-FLOW-0039-V1.0,必填,分析师输出,长文本,候选｜泄上游/生下游｜药力｜副作用｜定位,无真实两强相战或不可替代缺桥时写“无须设置专门通关用神”。,按M18-FLOW-0034-V1.0—M18-FLOW-0039-V1.0、M18-CLIMATE-0027-V1.0和M18-PATTERN-0021-V1.0裁决。
M19-CLIMATE-0029-V1.0,temperature_state,寒暖燥湿,9,温度状态,输出经月令和全局火水有效力量修正后的温度轴等级。,M13,月令气候基准；温度修正；温度状态；反向证据,必填,三层通用,枚举,极寒/偏寒/平衡/偏暖/极热＋主要证据,必须输出；证据接近时写“接近平衡/偏向…”，并降低置信度。,双向证据接近按M18-CLIMATE-0028-V1.0与M18-GEN-0008-V1.0处理。
M19-CLIMATE-0030-V1.0,moisture_state,寒暖燥湿,9,湿度状态,输出经水势、湿土、燥土、火势和木疏土作用修正后的湿度轴等级。,M13,湿度修正；湿土/燥土有效性；湿度状态；反向证据,必填,三层通用,枚举,极湿/偏湿/平衡/偏燥/极燥＋主要证据,必须输出；土性不明时写“湿燥倾向待定”，并说明争议。,湿土燥土与全局修正冲突按M18-CLIMATE-0028-V1.0和M17土性分型规则处理。
M19-CLIMATE-0031-V1.0,climate_problem_and_urgency,寒暖燥湿,9,主要气候问题与调候紧急度,判断寒凝、火炎、湿滞、燥枯是否已形成实际功能障碍及其优先级。,M13/M16,主要气候问题；调候紧急度；M12气候型卡点；M16调候病,必填,三层通用,长文本,气候问题｜功能影响｜紧急度｜是否根本病,无实际功能障碍时写“无首要调候病，气候仅为一般背景”。,是否升为首要问题按M18-CLIMATE-0025-V1.0、M18-CLIMATE-0026-V1.0与0027裁决。
M19-CLIMATE-0032-V1.0,climate_candidates_and_conflicts,寒暖燥湿,9,调候候选、有效性与跨模块冲突,输出调候五行的存在性、有效性、主辅关系及其与扶抑、格局、通关的冲突。,M13/M17/M18,调候候选五行；存在性；有效性；与扶抑/格局冲突；M18-CLIMATE,必填,分析师输出,长文本,候选｜机制｜存在/有效｜主辅｜冲突｜定位,双轴平衡时写“无须设置专门调候用神”。,按M18-CLIMATE-0028-V1.0—M18-CLIMATE-0032-V1.0、M18-SPECIAL-0011-V1.0和M18-PATTERN-0020-V1.0裁决。
M19-PATTERN-0033-V1.0,pattern_candidates,格局成败,10,格局候选清单与排序,输出M14生成的1—3个核心候选、类别、月令依据、候选状态和排序理由。,M14,候选名称；格局类别；月令依据；格神有效性；候选状态；替代候选,必填,分析师输出,多值标签,顺位｜候选｜依据｜状态｜排除因素,无稳定候选时写“格局候选分散，暂以功能结构而非单一格名表达”。,多个候选冲突按M18-PATTERN-0024-V1.0排序，不用月令一字机械定格。
M19-PATTERN-0034-V1.0,final_pattern,格局成败,10,最终格局与格局状态,输出M15最终确定的格局名称及不成立、基本成立、成立但有破、有破有救、清纯成立或特殊格局严格成立状态。,M15,最终格局；格局状态；关联候选；M18最终裁决,必填,三层通用,枚举,格局名称＋状态,格局不成立时写“未形成稳定单一格局，以【主要功能结构】表达”。,最终主格按M18-PATTERN-0024-V1.0；特殊格局须通过M18-SPECIAL硬约束审查。
M19-PATTERN-0035-V1.0,pattern_evidence_and_level,格局成败,10,成格证据、清纯度与层次,说明格局成立的关键证据、清纯程度及运行质量层次。,M15,成格条件；成格证据；清纯程度；层次判断,必填,分析师输出,长文本,3—5条成格证据＋清纯度＋层次,格局不成立时改写为“不成立的决定性原因”，不硬填成格证据。,成立与层次冲突按M18-GEN-0001-V1.0、M18-PATTERN-0024-V1.0；证据同源去重。
M19-PATTERN-0036-V1.0,pattern_failure_factors,格局成败,10,破格因素与破格等级,输出直接影响格神或核心结构的破格因素、作用对象和轻微至根本破格等级。,M15/M16,破格因素；破格等级；受损格神；根本格局病,必填,三层通用,长文本,破格因素｜作用对象｜等级｜结构后果,无破时写“未见实质破格因素”，不得空白。,局部收益与破格冲突按M18-GEN-0005-V1.0、M18-PATTERN-0017-V1.0和M18-MED-0043-V1.0裁决。
M19-PATTERN-0037-V1.0,pattern_rescue_and_alternatives,格局成败,10,救应、有效性与替代候选说明,记录救应力量、直接修复对象、有效程度，并解释为何其他候选未成为最终格局。,M15/M18,救应因素；救应有效性；被降级候选；替代结构；M18-PATTERN/MED,必填,三层通用,长文本,救应｜修复对象｜有效性｜副作用｜为何非其他格,无救应时写“未见能直接修复该破格的有效救应”。,救应与副作用按M18-PATTERN-0019-V1.0、M18-MED-0043-V1.0和M18-DOSE-0064-V1.0裁决。
M19-MED-0038-V1.0,root_disease,病药模型,11,根本主病,输出一个能够解释最多跨模块问题的根本病位、病性、根因、表层表现和严重度。,M16,根本主病；病位；病性；根本原因；表层表现；严重程度,必填,三层通用,长文本,病类｜病位｜根因｜表象｜严重度,无结构性主病时写“未发现需要立为根本病的功能障碍”。,根本病与表层病按M18-GEN-0003-V1.0、M18-MED-0041-V1.0与M18-MED-0050-V1.0裁决。
M19-MED-0039-V1.0,secondary_diseases,病药模型,11,次级病及其与主病的关系,输出1—3个次级病，并说明是由主病引发、独立存在还是主病修复后才会显现。,M16,次级病；病位主次；表层病降级；复合病,必填,分析师输出,多值标签,次病｜严重度｜与主病关系｜是否独立用药,无次级病时写“无独立次级病”。,主病与次病冲突按M18-MED-0047-V1.0，表层病自动降级不重复计权。
M19-MED-0040-V1.0,primary_and_auxiliary_medicine,病药模型,11,主药、辅助药与药理,输出直接修复根本病的主药、服务主药或次病的辅助药、作用路径和主辅顺位。,M16/M17/M18,主药；辅助药；药理；作用对象；M17定位；M18主药路线,必填,三层通用,长文本,主药｜药理｜对象｜辅助药｜主辅关系,无病位时写“无须设置病药主药”；多个主药接近时列主候选与替代候选。,按M18-MED-0041-V1.0—M18-MED-0048-V1.0、M18-ROUTE-0051-V1.0—M18-ROUTE-0060-V1.0和M18-RANK-0069-V1.0、M18-RANK-0070-V1.0裁决。
M19-MED-0041-V1.0,medicine_risks,病药模型,11,药力不足、过量、伤格与新病风险,记录主辅药的有效性、药力不足后果、过量转性、是否伤格及可能产生的新病。,M16/M18,药神有效性；药力不足；药力过度；是否伤害格局；新病类型；剂量裁决,必填,三层通用,长文本,风险项｜触发条件｜后果｜控制方式,风险较低也写“未见重大药害，但仍需遵守有效强度边界”。,按M18-DOSE-0061-V1.0—M18-DOSE-0068-V1.0和M18-MED-0044-V1.0裁决；更严重药害直接否决。
M19-USE-0042-V1.0,five_element_use_matrix,喜忌用神与综合结论,12,木火土金水五维用神矩阵,按扶抑、格局、通关、调候、病药五维记录五行收益、副作用、条件和M18裁决。,M17/M18,M17五行矩阵；综合定位；冲突Rule_ID；M18裁决结果,必填,分析师输出,多值标签,五行｜扶抑｜格局｜通关｜调候｜病药｜副作用｜定位,五行必须全部输出；证据不足者标待定，不得遗漏。,调用M17对应冲突Rule_ID与M18-RANK-0069-V1.0—M18-RANK-0076-V1.0完成最终定位。
M19-USE-0043-V1.0,primary_and_auxiliary_use,喜忌用神与综合结论,12,主用神与辅助用神,输出经过M18无硬否决审查后的主用神、辅助用神、解决对象、主次顺位和成立条件。,M17/M18,主用神；辅助用神；第一/第二顺位；成立条件；替代方案；M18-RANK-0069-V1.0、M18-RANK-0070-V1.0,必填,三层通用,长文本,主用｜解决问题｜路径｜条件｜辅助｜辅助机制,无单一主用时写“主用候选并列”，列条件和置信度；不得强行唯一化。,严格按M18-RANK-0069-V1.0、M18-RANK-0070-V1.0；证据接近转M18-GEN-0008-V1.0。
M19-USE-0044-V1.0,favorable_unfavorable_roles,喜忌用神与综合结论,12,喜神、条件性喜神、中性、忌神与仇神,完整输出除主辅用神外的五行定位、转性条件、伤害对象及间接有害链。,M17/M18,喜神；条件性喜神；中性；条件性忌神；忌神；仇神；M18-RANK-0071-V1.0—M18-RANK-0076-V1.0,必填,三层通用,多值标签,定位类别｜五行｜作用｜条件/伤害链,某类别无对应五行时写“无”，不得为了凑齐类别强行指定。,按M18-RANK-0071-V1.0—M18-RANK-0076-V1.0；条件切换必须写清触发和转忌边界。
M19-USE-0045-V1.0,final_structure_summary,喜忌用神与综合结论,12,最终结构摘要、条件边界与下游接口,用5—8句总结原局主势、日主、主组合、流通、调候、格局、病药和用神，并输出供上层模型调用的结构化标签。,M02-M18,M18-BOUND-0077-V1.0；M17-BOUND-0100-V1.0；各模块最终结论,必填,三层通用,长文本,用户摘要＋内部标签清单/JSON键值,必须输出；任何待定项以条件句呈现，不得隐去不确定性。,最终摘要必须引用M18-BOUND-0077-V1.0的裁决链；不确定项按M18-BOUND-0080-V1.0治理。
