model,module_id,module_name,source_file,source_row,rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,12,M1-CORE-011,女命正官｜力量较弱,L1 核心伴侣原型,夫妻星核心规则,女命,降级,正官,,该星力量较弱，或仅有孤立证据。,不得在无其他支持时输出核心画像。,,,,,混合,无根或弱根,弱,未定,无特殊,,76,A01 责任稳定 -5,confidence,弱信号不宜直接生成核心结论，避免“盘中出现即成立”。,目前这类偏好的证据较弱，不宜把它写成你固定而明确的心动类型。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,低,待验证,,状态代码：weak。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,13,M1-CORE-012,女命正官｜为喜且平衡,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星被共享引擎判定为喜用或有利，且强度平衡。,喜忌未定；结构失衡。,,,,,混合,不确定,中或强,喜,平衡,,87,措辞成熟化；可 +2,style_modifier,喜忌不决定喜不喜欢，只决定优先采用成熟、协调的特质表述。,你更容易注意稳定而不僵硬、负责而有分寸的人。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：fav_balanced。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,14,M1-CORE-013,女命正官｜为忌且过强,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星被判定为忌，且力量过强或表达失衡。,该星很弱时不使用此规则。,,,,,混合,有根或强支撑,强,忌,失衡,,86,不降低显著度；使用强化词,style_modifier,为忌不等于不吸引；当信号强时，仍可能敏感，只是更容易注意其强化版本。,你对标准感、克制和规则意识较强的人也会比较敏感，但这里仍只描述心动触发，不评价这种特质是否适合长期相处。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：unfav_excessive。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,15,M1-CORE-014,女命正官｜喜忌未定,L1 核心伴侣原型,夫妻星核心规则,女命,降级,正官,,该星有效，但喜忌尚未形成可靠判断。,无。,,,,,混合,不确定,不确定,未定,未知,,72,不加减分,style_modifier,只保留中性核心词，不使用成熟版或强化版评价。,当前只适合确认你会注意这类特质，不进一步判断它更偏温和成熟还是表达强烈。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：fav_unknown。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,16,M1-CORE-015,女命正官｜有调节或结构有序,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星被共享引擎标记为有制化、受调节、得护或整体表达有序。,真合化；调节结论不确定。,,,,,混合,不确定,中或强,未定,有调节,,89,措辞成熟化；可 +2,style_modifier,调节状态只用于选择更有边界、更协调的表达，不推出关系质量。,这类吸引更偏向“可靠且有分寸”，而不是单纯严肃或强调规则。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：regulated。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,17,M1-CORE-016,女命正官｜明显受损,L1 核心伴侣原型,夫妻星核心规则,女命,排除/降级,正官,,该星被共享引擎判定为明显受损、难以发挥或证据被削弱。,真合化另走排除规则。,,,,,混合,不确定,不确定,未定,明显受损,,112,A01 责任稳定 -8；通常降为辅助或移除,confidence,受损意味着该证据对心动画像的支撑变弱，不代表相反偏好自动成立。,正官型偏好证据受到削弱，不宜仅凭这一项给出确定的核心心动类型。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,低,待验证,,状态代码：damaged。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,18,M1-CORE-017,女命正官｜被合但不化,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星发生合或牵引，但共享引擎明确判定未真化。,真合化。,,,,,混合,不确定,不确定,未定,合而不化,,108,A01 责任稳定 -2；不得删除原义,dual_preference,合而不化时保留原十神含义，但独立性下降，需要与被合信号并读。,该信号仍保留责任与稳定的含义，但需要与发生牵引的另一信号一起解释。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：combined_not_transformed。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,19,M1-CORE-018,女命正官｜真合化,L1 核心伴侣原型,夫妻星核心规则,女命,排除,正官,,共享基础引擎明确判定该星已真合化，原十神性质不再直接发挥。,合化条件不完整或存在争议时不得使用。,,,,,混合,不确定,不确定,未定,真合化,,125,移除原A01 责任稳定分值,none,真合化是门控规则：停止使用原星的核心画像，转交化神或重算后的有效信号。,本规则不直接生成用户文案；系统应改用合化后的有效信号重新判断。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,不适用,待验证,,状态代码：true_transformed。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,20,M1-CORE-019,女命正官｜接近日主或日支,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,该星与日主或日支位置接近，且本身有效。,不得仅凭位置接近覆盖力量和主次判断。,,,,,近,不确定,不确定,未定,无特殊,,79,A01 责任稳定 +2,primary_trigger,距离只作为证据接近度，表示该偏好更容易进入具体互动层面的识别。,你更容易在具体互动中迅速识别对方是否可靠、负责。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：near。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,21,M1-CORE-020,女命正官｜位置较远,L1 核心伴侣原型,夫妻星核心规则,女命,降级,正官,,该星位置较远，且没有其他强支持。,若力量强、透干有根，可由其他规则提升。,,,,,远,不确定,不确定,未定,无特殊,,70,不加分；必要时置信度降一级,secondary_bonus,远位不等于无效，只是不宜单独据此判断即时、明确的心动触发。,这一偏好更适合作为背景倾向，需要其他证据支持后再进入核心结论。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,中,待验证,,状态代码：far。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,22,M1-CORE-021,女命正官｜同类信号重复且一致,L1 核心伴侣原型,夫妻星核心规则,女命,修正,正官,,同一夫妻星在多处重复出现，且各处状态大体一致、未真合化。,重复位置状态相互矛盾时转入全局冲突门控。,,,,,混合,不确定,中或强,未定,一致,,85,A01 责任稳定 +3；同维度累计上限 +5,primary_attraction,重复提高识别度，但不能按出现次数线性叠加，避免过度放大。,你对可靠、责任和行为一致性的识别度较高。,不得推出对方一定有社会地位、从事公职、经济条件好、婚姻稳定或一定适合命主。,高,待验证,,状态代码：repeated。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,23,M1-CORE-022,女命七杀｜基础主画像,L1 核心伴侣原型,夫妻星核心规则,女命,基础,七杀,,该夫妻星被共享基础引擎判定为有效且主导；另一夫妻星未形成势均或更强的未决竞争。,另一夫妻星势均且主次未决；该星已真合化；基础状态不确定。,,,,,混合,不确定,不确定,未定,无特殊,,100,A02 力量决断 +30,primary_attraction,七杀在本模型中映射力量、决断、行动、效率、竞争力与抗压感。 当它成为主导夫妻星信号时，用于确定模型一的核心心动原型。,你比较容易被有行动力、判断力、魄力和明显力量感的人吸引。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,24,M1-CORE-023,女命七杀｜基础触发行为,L1 核心伴侣原型,夫妻星核心规则,女命,基础,七杀,,该星已进入核心主画像。,基础主画像未成立。,,,,,混合,不确定,不确定,未定,无特殊,,95,不重复加分,primary_trigger,将抽象十神含义翻译为可观察的行为触发，避免只输出人格标签。,当对方敢做决定、能够推进事情，并在关键时刻扛得住时，你更容易产生感觉。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,25,M1-CORE-024,女命七杀｜基础依据摘要,L1 核心伴侣原型,夫妻星核心规则,女命,基础,七杀,,该星已进入核心主画像。,基础主画像未成立。,,,,,混合,不确定,不确定,未定,无特殊,,90,不加分,basis_summary,生成折叠命理依据，只解释该信号对应的心动维度，不延伸关系结果。,从传统八字取象看，七杀信号较明显，主要对应力量决断。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：valid_dominant。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,26,M1-CORE-025,女命七杀｜透干且有根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星透干且有根，并保持有效十神性质。,真合化；被判定为无效信号。,,,,,透干,有根,不确定,未定,无特殊,,88,A02 力量决断 +6,primary_trigger,外显且有根，说明该类特质既容易被看见，也有足够结构支持，偏好辨识度较高。,你往往较容易先注意到对方身上的气场、决断、行动速度和存在感等外显表现。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：visible_rooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,27,M1-CORE-026,女命七杀｜透干但无根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星透干但无根，且未被完全否定。,真合化；另有更强相反证据。,,,,,透干,无根,不确定,未定,无特殊,,82,A02 力量决断 +2；置信度降一级,primary_trigger,外显标签容易引起注意，但根气不足，不能单独证明稳定而持续的偏好。,第一印象容易受到气场、决断、行动速度和存在感等外显表现影响，但是否构成稳定偏好，还要看其他信号是否支持。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：visible_unrooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,28,M1-CORE-027,女命七杀｜藏支且有根,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星主要藏支且有根，未透或外显度较低。,真合化；被判定为无效。,,,,,藏支,有根,不确定,未定,无特殊,,84,A02 力量决断 +4,secondary_bonus,偏好存在但较隐性，更可能通过熟悉和观察逐渐被用户意识到。,你不一定第一眼就被这类人打动，但相处后更容易注意到对方的相处中逐渐展现的执行力、抗压能力与担当。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：hidden_rooted。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,29,M1-CORE-028,女命七杀｜仅藏且较弱,L1 核心伴侣原型,夫妻星核心规则,女命,降级,七杀,,该星仅藏、无明显根气或整体力量较弱。,有其他更强核心证据时不得抢占主结论。,,,,,藏支,无根或弱根,弱,未定,无特殊,,78,A02 力量决断 -6；仅可作弱加分,secondary_bonus,证据不足以支持核心类型，只能在其他规则一致时作为轻微加分。,这类特质可能是加分项，但目前不足以单独定义你的核心心动类型。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,低,待验证,,状态代码：hidden_weak。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,30,M1-CORE-029,女命七杀｜旺而有序,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星力量强，且共享引擎判定结构有序、未失衡。,真合化；明显受损。,,,,,混合,有根或强支撑,强,未定,有序,,92,A02 力量决断 +5,primary_attraction,强度提高偏好显著度；结构有序时优先使用成熟、可取的表达词。,你更容易注意有力量但有边界、果断而不鲁莽的人。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：strong_ordered。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,31,M1-CORE-030,女命七杀｜旺而失衡,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星力量强，且共享引擎判定表达失衡、过度或缺少调节。,真合化。,,,,,混合,有根或强支撑,强,忌或失衡,无有效调节,,91,A02 力量决断 +5；使用强化词；置信度不高于中,style_modifier,强度仍会提高注意敏感度，但文案改用强化版本，不能把失衡直接写成关系风险。,你对气场强、节奏快、表达直接的人也可能较敏感；这只说明力量型特质容易触发注意，不代表对方质量或关系结果。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：strong_unbalanced。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,32,M1-CORE-031,女命七杀｜力量中等,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星力量中等，且与其他证据不冲突。,另有明显更强核心信号时不得作为主结论。,,,,,混合,不确定,中,未定,无特殊,,80,A02 力量决断 +2,secondary_bonus,中等信号适合作为稳定辅助；是否升级为核心依赖夫妻星主次判定。,你会在意这类特质，但它更可能是稳定加分项，而不是唯一的心动标准。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：medium。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,33,M1-CORE-032,女命七杀｜力量较弱,L1 核心伴侣原型,夫妻星核心规则,女命,降级,七杀,,该星力量较弱，或仅有孤立证据。,不得在无其他支持时输出核心画像。,,,,,混合,无根或弱根,弱,未定,无特殊,,76,A02 力量决断 -5,confidence,弱信号不宜直接生成核心结论，避免“盘中出现即成立”。,目前这类偏好的证据较弱，不宜把它写成你固定而明确的心动类型。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,低,待验证,,状态代码：weak。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,34,M1-CORE-033,女命七杀｜为喜且平衡,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星被共享引擎判定为喜用或有利，且强度平衡。,喜忌未定；结构失衡。,,,,,混合,不确定,中或强,喜,平衡,,87,措辞成熟化；可 +2,style_modifier,喜忌不决定喜不喜欢，只决定优先采用成熟、协调的特质表述。,你更容易注意有力量但有边界、果断而不鲁莽的人。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：fav_balanced。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,35,M1-CORE-034,女命七杀｜为忌且过强,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星被判定为忌，且力量过强或表达失衡。,该星很弱时不使用此规则。,,,,,混合,有根或强支撑,强,忌,失衡,,86,不降低显著度；使用强化词,style_modifier,为忌不等于不吸引；当信号强时，仍可能敏感，只是更容易注意其强化版本。,你对气场强、节奏快、表达直接的人也可能较敏感；这只说明力量型特质容易触发注意，不代表对方质量或关系结果。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：unfav_excessive。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,36,M1-CORE-035,女命七杀｜喜忌未定,L1 核心伴侣原型,夫妻星核心规则,女命,降级,七杀,,该星有效，但喜忌尚未形成可靠判断。,无。,,,,,混合,不确定,不确定,未定,未知,,72,不加减分,style_modifier,只保留中性核心词，不使用成熟版或强化版评价。,当前只适合确认你会注意这类特质，不进一步判断它更偏温和成熟还是表达强烈。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：fav_unknown。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,37,M1-CORE-036,女命七杀｜有调节或结构有序,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星被共享引擎标记为有制化、受调节、得护或整体表达有序。,真合化；调节结论不确定。,,,,,混合,不确定,中或强,未定,有调节,,89,措辞成熟化；可 +2,style_modifier,调节状态只用于选择更有边界、更协调的表达，不推出关系质量。,这类吸引更偏向有魄力但懂分寸、能行动也能自我约束的人。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,高,待验证,,状态代码：regulated。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,38,M1-CORE-037,女命七杀｜明显受损,L1 核心伴侣原型,夫妻星核心规则,女命,排除/降级,七杀,,该星被共享引擎判定为明显受损、难以发挥或证据被削弱。,真合化另走排除规则。,,,,,混合,不确定,不确定,未定,明显受损,,112,A02 力量决断 -8；通常降为辅助或移除,confidence,受损意味着该证据对心动画像的支撑变弱，不代表相反偏好自动成立。,七杀型偏好证据受到削弱，不宜仅凭这一项给出确定的核心心动类型。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,低,待验证,,状态代码：damaged。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,39,M1-CORE-038,女命七杀｜被合但不化,L1 核心伴侣原型,夫妻星核心规则,女命,修正,七杀,,该星发生合或牵引，但共享引擎明确判定未真化。,真合化。,,,,,混合,不确定,不确定,未定,合而不化,,108,A02 力量决断 -2；不得删除原义,dual_preference,合而不化时保留原十神含义，但独立性下降，需要与被合信号并读。,该信号仍保留力量与决断的含义，但需要与发生牵引的另一信号一起解释。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,中,待验证,,状态代码：combined_not_transformed。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
M1,M1.CORE,心动偏好核心,M1_CORE_核心规则原子表_V0.2.csv,40,M1-CORE-039,女命七杀｜真合化,L1 核心伴侣原型,夫妻星核心规则,女命,排除,七杀,,共享基础引擎明确判定该星已真合化，原十神性质不再直接发挥。,合化条件不完整或存在争议时不得使用。,,,,,混合,不确定,不确定,未定,真合化,,125,移除原A02 力量决断分值,none,真合化是门控规则：停止使用原星的核心画像，转交化神或重算后的有效信号。,本规则不直接生成用户文案；系统应改用合化后的有效信号重新判断。,不得推出命主喜欢坏人、对方一定控制欲强、关系必然受压、感情不稳定或容易受伤。,不适用,待验证,,状态代码：true_transformed。本轮仅按传统男命/女命夫妻星口径；权重待案例校准。,0.2
