rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M3-BOUND-011,M3-REPAIR接口｜暂停不等于完成修复,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-REPAIR,,暂停、回归或重新协商候选出现。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,89,不加分；门控／路由,pause_return_style,BOUND可说明何时需要暂停和何时愿意重新谈；真正怎样恢复联结由REPAIR判断。,需要暂时停一下，不等于拒绝修复；回到沟通，也不等于问题已经解决。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_11,0.5
M3-BOUND-012,M3-STATE接口｜先看平稳边界再看压力切换,L0 模型边界与证据,BOUND-定义边界,通用,模块边界,M3-STATE,,平稳和压力状态可能调用不同通道。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,88,不加分；门控／路由,state_shift,BOUND先确定日常距离与权限，再把压力下抢先的设限方式交给STATE修正。,你平时的相处边界，和压力增加时的第一反应，可能不是同一种方式。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_12,0.5
M3-BOUND-013,M4边界｜边界风格不直接等于关系风险,L0 模型边界与证据,BOUND-定义边界,通用,跨模型边界,M4-关系盲点,,强通道、过旺、受损或宫位动态明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,87,不加分；门控／路由,risk_route,BOUND只描述功能和节奏；是否形成控制、耗竭、回避或权力失衡，必须进入M4。,这里不会仅凭边界强弱，就把你判断为控制、回避或容易失去自我。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_13,0.5
M3-BOUND-014,M5边界｜边界风格不直接生成适配结论,L0 模型边界与证据,BOUND-定义边界,通用,跨模型边界,M5-适配关系,,BOUND结论已形成。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,86,不加分；门控／路由,boundary_note,相处边界是适配分析输入之一，但不能单独推出哪类伴侣最适合。,你的边界节奏会影响适配，但不是最终适配结论。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_14,0.5
M3-BOUND-015,硬边界｜需要空间不等于回避亲密,L0 模型边界与证据,BOUND-定义边界,通用,禁止推断,核心纠偏,,偏印、比肩、暂停或空间候选明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,85,不加分；门控／路由,boundary_note,空间需求描述内部整理、独立决定和恢复节奏，不自动等于害怕亲密。,你需要一定空间，可能只是为了整理感受和保留自主，不代表你拒绝亲密。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_15,0.5
M3-BOUND-016,硬边界｜愿意依托不等于失去自主,L0 模型边界与证据,BOUND-定义边界,通用,禁止推断,核心纠偏,,正印、正财、正官或接受支持候选明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,84,不加分；门控／路由,support_acceptance_boundary,接受照顾、信任承诺和共享资源可以与自主决定并存。,你愿意在信任中依靠对方，不代表你会把自己的决定权全部交出去。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_16,0.5
M3-BOUND-017,硬边界｜边界清楚不等于冷漠,L0 模型边界与证据,BOUND-定义边界,通用,禁止推断,核心纠偏,,比肩、伤官、正官或明确拒绝候选明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,83,不加分；门控／路由,boundary_note,清楚说明权限、节奏和限制，是关系协商方式，不等于情感稀薄。,你倾向把界限说清楚，更多是为了让关系可持续，并不等于不在意。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_17,0.5
M3-BOUND-018,硬边界｜弹性共享不等于没有原则,L0 模型边界与证据,BOUND-定义边界,通用,禁止推断,核心纠偏,,偏财、劫财或弹性调整候选明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,82,不加分；门控／路由,renegotiation_style,弹性边界表示会根据现实和双方需要调整，不自动等于规则缺失。,你可能更愿意随情境调整安排，但仍可以有清楚的核心底线。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_18,0.5
M3-BOUND-019,硬边界｜亲密共享不等于融合失界,L0 模型边界与证据,BOUND-定义边界,通用,禁止推断,核心纠偏,,合、正印、正财、食神或稳定共享候选明显。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,81,不加分；门控／路由,boundary_note,共享时间、资源和情绪不自动代表双方失去独立性。,你愿意把生活和感受放进关系里，不代表你没有自己的空间和判断。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,高,待验证,,provisional=true; rule_group=DEFINITION_19,0.5
M3-BOUND-020,证据门槛｜至少两类独立证据才能定模式,L0 模型边界与证据,BOUND-定义边界,通用,证据门控,M3-BOUND模块规则,,需要输出固定BOUND模式或双层边界。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,80,不加分；门控／路由,report_status,主模式至少需要通道、日支、过程维度、现实行为或宫位动态中的两类独立证据。,证据不足时，只保留可能方向，不把一次行为或一个弱远信号写成固定模式。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,中高,待验证,,provisional=true; rule_group=DEFINITION_20,0.5
M3-BOUND-021,比肩BOUND通道｜BD01 平等自主,L1 十神边界通道,BOUND-十神通道,通用,基础通道,比肩,,比肩BOUND功能有效，基础十神性质可靠，未被真合化替换。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,88,主BOUND候选 +18,primary_boundary_channel,比肩属于SYS01 自我边界系统，在BOUND中主要负责：通过平等、各自负责和保留个人决定权来维持亲密，重视“靠近但不替代彼此”。,你更容易通过“平等自主”安排亲密与自主。通过平等、各自负责和保留个人决定权来维持亲密，重视“靠近但不替代彼此”。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,中高,待验证,,provisional=true; rule_group=CHANNEL_BD01_BASE,0.5
M3-BOUND-022,比肩靠近方式｜BD01关系启动,L1 十神边界通道,BOUND-十神通道,通用,靠近方式,比肩,,比肩BOUND功能有效，基础十神性质可靠，未被真合化替换。,基础信号未定；真合化后原信号已失效；只有单一弱远争议信号；或该结论会越界到M4风险、M5适配。,由共享基础引擎与M3-STATE修正；日主承载、印比支持只修正自主与执行，不直接等于有无边界。,不限定；夫妻星仅在入宫或形成角色、责任边界时参与接口，不作为BOUND唯一主轴。,由M3-BASE、日支主气及宫位动态提供。,无／待BOUND路径规则组合,日柱与日支近位优先；全局有效独立信号可作次通道。,由共享基础引擎判定,由共享基础引擎判定,喜忌不直接等于边界好坏；只修正调用顺畅度、资源压力和状态切换。,原十神性质有效；真合化成立时按化神所属功能系统重建。,由共享基础引擎判定,76,靠近节奏候选 +6,closeness_rhythm,更容易把靠近建立在同频、互相尊重和并肩感上，不喜欢一开始就形成明显上下位。,更容易把靠近建立在同频、互相尊重和并肩感上，不喜欢一开始就形成明显上下位。,不得由本规则直接推出回避亲密、依赖失控、控制欲、冷漠、自私、关系破裂、分手离婚、人格或依恋类型；不得把某种边界方式等同于爱得更多或更少。,中,待验证,,provisional=true; rule_group=CHANNEL_BD01_APPROACH,0.5
