rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-SYNTH-016,原子规则｜不得直接逐条展示给用户,L7 总合成与报告引擎,报告边界,通用,门控,原子规则,用户报告,生成简版或专业版用户报告。,,,,,,,,,,,,88,原子规则仅进入basis和trace；用户正文必须经过合成与去重。,report_generation,你看到的是整合后的关系选择逻辑，而不是几十条互相重复的命理标签。,不得把所有命中规则原样拼接成用户报告。,门控,门控,待验证,,,V0.8
M2-SYNTH-017,版本状态｜统一标记暂定,L7 总合成与报告引擎,版本管理,通用,基础,V0.8,案例验证,当前知识库尚未完成大样本案例校准。,,,,,,,,,,,,95,provisional=true；validation_status=待验证。,provisional,当前版本是一套结构化、可测试的传统命理解释规则，仍需通过真实案例持续校准。,不得宣称已获得统计验证、临床验证或确定准确率。,高,门控,待验证,,,V0.8
M2-SYNTH-018,用户语言｜保持中性与可观察,L7 总合成与报告引擎,报告边界,通用,门控,中性语言,行为证据,生成任何用户可见文本。,,,,,,,,,,,,98,优先写可观察行为与条件；禁用贬损、诊断和宿命语言。,language_guard,报告会说明你通常重视什么、怎样确认，不会给你贴上“恋爱脑”“没主见”或“注定怎样”的标签。,不得使用人格羞辱、心理诊断或宿命化表达。,门控,门控,待验证,,,V0.8
M2-SYNTH-019,时间边界｜不输出具体日期与时长,L7 总合成与报告引擎,报告边界,通用,门控,确认节奏,日历时间,TEMPO结果进入最终报告。,,,,,,,,,,,,100,仅输出相对节奏和证据轮次；禁止换算天、周、月、年龄或年份。,calendar_guard,这里的快慢只表示确认方式，不代表固定几天、几个月，也不预测具体何时开始关系。,不得从原局推出具体恋爱、结婚日期或年龄。,门控,门控,待验证,,,V0.8
M2-SYNTH-020,结果边界｜进入关系不等于适配与结果,L7 总合成与报告引擎,报告边界,通用,门控,关系准入,适配与结果,准备发布最终报告。,,,,,,,,,,,,100,boundary_note必须保留；不输出M4/M5职责。,boundary_note,一个人通过你的关系门槛，只说明你更可能认真考虑，不代表对方一定适合你，也不代表关系结果一定良好。,不得由M2推出长期适配、婚姻稳定、对象品质或关系风险。,门控,门控,待验证,,,V0.8
M2-SYNTH-021,同源同维度｜合并为一项,L7 总合成与报告引擎,同源去重,通用,门控,相同evidence_source_id,相同G维度,两个或多个模块以同一基础事实支持同一准入维度。,,,,,,,,,,,,99,基础分只计一次；保留最直接解释；其他模块记录为corroboration。,deduplication,同一个条件在不同模块里被重复看见时，会合并成一项核心判断，不会因为出现次数多就写得更确定。,不得对同源同维度证据重复加分。,门控,门控,待验证,,,V0.8
M2-SYNTH-022,跨模块重复｜只增加说明不增加基础分,L7 总合成与报告引擎,同源去重,通用,门控,GATE/CORE/FLOW/DUAL/TEMPO,同源证据,同一evidence_source_id跨模块出现。,,,,,,,,,,,,98,base_weight只计一次；cross_module_support_bonus=0；保留trace。,deduplication,同一条命理信息可以帮助解释门槛、路径和节奏，但它仍然只是一条基础证据。,不得把跨模块命中数当成独立支持数。,门控,门控,待验证,,,V0.8
M2-SYNTH-023,同义词重复｜统一映射标准维度,L7 总合成与报告引擎,语义归一,通用,门控,同义描述,G维度词典,出现“可靠、负责、守约、承诺清晰”等语义高度重叠的候选。,它们分别有独立功能和独立来源。,,,,,,,,,,,96,映射到同一G维度；优先保留标准标签和最具体行为解释。,semantic_merge,系统会把意思相近的描述合并成更准确的一项，不会把同义词写成多个不同标准。,不得仅因措辞不同判断为双重门槛。,门控,门控,待验证,,,V0.8
M2-SYNTH-024,派生证据｜不能作为独立第二证据,L7 总合成与报告引擎,同源去重,通用,门控,派生规则,基础事实,规则B完全由规则A的结果计算得出，没有新增基础事实。,,,,,,,,,,,,98,B可用于路径或语言，不计independent_evidence_count。,evidence_independence,由同一结论继续推出来的说明，可以帮助理解，但不会被当成另一条独立依据。,不得用派生结论自我印证。,门控,门控,待验证,,,V0.8
M2-SYNTH-025,日支主气｜GATE与DUAL同源去重,L7 总合成与报告引擎,同源去重,通用,组合,日支主气,GATE/DUAL,GATE主门槛与DUAL主中气结构都引用同一日支主气。,,,,,,,,,,,,97,日支主气基础权重只计一次；DUAL仅决定主次关系。,deduplication,夫妻宫主气既决定核心门槛，也可能参与双层结构；系统会只计算一次，再用双层模块说明它和第二条件的关系。,不得把同一日支主气作为两条独立核心证据。,门控,门控,待验证,,,V0.8
M2-SYNTH-026,夫妻星入宫｜CORE与GATE同源去重,L7 总合成与报告引擎,同源去重,通用,组合,夫妻星入夫妻宫,CORE/GATE,同一夫妻星同时作为伴侣资格证据并落入日支同一藏干层级。,,,,,,,,,,,,99,保留GATE作为门槛、CORE作为行为证明；基础分去重，语义职责分开。,core_gate_merge,当同一个夫妻星同时进入夫妻宫时，系统会把它拆成“你需要什么”和“对方怎样证明”，而不是重复写两遍。,不得重复累计夫妻星入宫的基础强度。,高,门控,待验证,,,V0.8
M2-SYNTH-027,日支主中余气｜相关但不完全独立,L7 总合成与报告引擎,同源去重,通用,修正,日支藏干层级,证据相关性,主气、中气、余气来自同一日支。,,,,,,,,,,,,94,主气权重最高；中气可作第二层；余气仅弱候选；三者共享palace_group封顶。,evidence_correlation,夫妻宫里不同藏干可以形成层次，但它们来自同一个关系场域，系统会按主次处理，不会当成三套完全独立标准。,不得把主中余气简单视为三条等权证据。,中高,门控,待验证,,,V0.8
M2-SYNTH-028,同类十神重复｜跨柱相关证据封顶,L7 总合成与报告引擎,同源去重,通用,修正,同类夫妻星重复,不同柱位,同类夫妻星在多个柱位重复出现。,不同十神或不同宫位提供独立功能。,,,,,,,,,,,93,可增强显著度，但同类重复增强上限+8；独立证据数最多增加1。,repeat_cap,同一种伴侣资格信号反复出现，会让这项标准更显眼，但不会按出现几次就机械放大几倍。,不得把数量直接等于关系次数、对象数量或绝对重要性。,中,门控,待验证,,,V0.8
M2-SYNTH-029,真合化｜原证据停止并按化神重建,L7 总合成与报告引擎,同源去重,通用,路由,真合化,原十神性质,共享基础引擎可靠判定关键十神或宫位已真合化。,仅合而不化。,,,,,,,,,,,100,原source_id标记inactive；创建transformed_source_id；相关候选重算。,transformation_reroute,关键结构如果已经真正转化，系统会停止沿用原来的门槛含义，并按转化后的性质重新判断。,不得在真合化后继续叠加原十神结论。,停止,门控,待验证,,,V0.8
M2-SYNTH-030,合而不化｜保留原性质并记录牵引,L7 总合成与报告引擎,同源去重,通用,修正,合而不化,原十神性质,存在合，但不满足真合化条件。,,,,,,,,,,,,92,原证据继续有效；增加binding_note，不创建新独立证据。,transformation_status,只有牵引、没有真正转化时，原来的关系条件仍然有效，只是表达可能更容易受到另一项信号影响。,不得把普通相合自动当作性质消失。,中高,门控,待验证,,,V0.8
M2-SYNTH-031,基础十神无效｜所有派生规则同时失效,L7 总合成与报告引擎,输入校验,通用,停止,基础十神性质,派生候选,共享引擎判定原十神性质已失效、误判或被真合化。,,,,,,,,,,,,100,删除该source_id的所有派生候选；写入stop_reason。,source_invalidation,如果基础十神判断不再成立，所有建立在它上面的门槛、路径和节奏都会一起撤回。,不得保留建立在无效基础上的漂亮文案。,停止,门控,待验证,,,V0.8
M2-SYNTH-032,透藏修正｜不构成新的独立证据,L7 总合成与报告引擎,同源去重,通用,门控,透干/藏支,基础信号,透藏状态用于修正同一基础信号的显著度。,,,,,,,,,,,,96,只调整score/confidence/tempo_hint；不增加independent_evidence_count。,state_modifier,透干或藏支说明你多早意识到这项标准、它有多外显，但不会被当成另一项关系条件。,不得把透干与有根拆成两项独立门槛。,门控,门控,待验证,,,V0.8
M2-SYNTH-033,根气修正｜不构成新的独立证据,L7 总合成与报告引擎,同源去重,通用,门控,有根/无根,基础信号,根气状态用于修正稳定性。,,,,,,,,,,,,96,只调整stability/confidence；不增加独立来源。,state_modifier,有根或无根主要说明这项标准是否容易稳定发挥，不会凭空创造一个新的选择条件。,不得把根气当作另一类关系需求。,门控,门控,待验证,,,V0.8
M2-SYNTH-034,旺弱修正｜不构成新的独立证据,L7 总合成与报告引擎,同源去重,通用,门控,旺/中/弱,基础信号,旺弱用于修正强度与表达版本。,,,,,,,,,,,,96,只调整candidate_score和style；不增加独立来源。,state_modifier,旺弱只改变同一项标准有多突出，不会把一个条件变成多个条件。,不得按旺弱次数重复加分。,门控,门控,待验证,,,V0.8
M2-SYNTH-035,喜忌修正｜不决定有没有这项标准,L7 总合成与报告引擎,同源去重,通用,门控,喜忌,体验质量,喜忌被用于修正同一关系信号。,,,,,,,,,,,,95,只修正表达成熟度、压力感和置信；不新增G维度。,favorability_modifier,喜忌更多说明这项标准以怎样的版本被体验，不直接等于你喜欢或不喜欢某类人。,不得把喜神直接等于会选择、忌神直接等于不会选择。,门控,门控,待验证,,,V0.8
M2-SYNTH-036,位置远近｜只修正进入核心的概率,L7 总合成与报告引擎,同源去重,通用,门控,近位/远位,基础信号,位置与日主、日支远近被用于修正候选。,,,,,,,,,,,,94,只调整relevance和confidence；不增加独立证据。,distance_modifier,靠近关系核心的信号更容易参与实际选择，远位信号更像背景，但位置本身不是新的门槛。,不得把柱位远近直接当作现实时间顺序。,门控,门控,待验证,,,V0.8
M2-SYNTH-037,状态修正总封顶｜单一来源增强有上限,L7 总合成与报告引擎,同源去重,通用,门控,透藏根气旺弱喜忌位置,单一source_id,同一source_id命中多个增强规则。,,,,,,,,,,,,98,单一来源状态增强总和封顶+12；降低项可累计至-15。,modifier_cap,同一信号即使同时具备多项有利状态，也不会无限抬高权重；系统会设置增强上限。,不得用大量状态修正制造虚假高置信。,门控,门控,待验证,,,V0.8
M2-SYNTH-038,规则数量｜同一来源只计一个基础权重,L7 总合成与报告引擎,同源去重,通用,门控,命中规则数,基础事实数,一个基础事实命中多个原子规则。,,,,,,,,,,,,99,base_evidence_count按source_id计数，不按rule_id计数。,evidence_count,系统看的是有多少条独立基础信息，而不是一共命中了多少条规则。,不得把命中规则数量解释成结论强度。,门控,门控,待验证,,,V0.8
M2-SYNTH-039,同源跨维度｜允许派生但共享置信上限,L7 总合成与报告引擎,同源去重,通用,修正,同一source_id,两个G维度,同一基础事实合理映射到核心维度及一个派生维度。,,,,,,,,,,,,92,允许1主1派生；两维度共享基础权重；派生维度置信上限=中。,cross_dimension_source,同一信号有时能同时解释两个相近方面，系统会保留主含义和一个辅助含义，但不会把它们当成完全独立。,不得由单一来源锁定两个高置信核心门槛。,中,门控,待验证,,,V0.8
M2-SYNTH-040,模块内重复候选｜先合并再跨模块比较,L7 总合成与报告引擎,语义归一,通用,门控,同模块多候选,同一维度,同一模块输出多个映射到相同稳定ID的候选。,,,,,,,,,,,,96,保留最高分候选；合并supporting_rule_ids；不重复进入SYNTH。,candidate_merge,同一模块里相同意思的候选会先合并，避免进入总合成后再重复竞争。,不得让同维度候选占据主门槛和次门槛两个位置。,门控,门控,待验证,,,V0.8
M2-SYNTH-041,标准词典｜标签必须统一,L7 总合成与报告引擎,语义归一,通用,基础,显示标签,稳定ID,生成工作簿、JSON或报告。,,,,,,,,,,,,90,所有内部比较使用ID；显示层使用统一中文标签。,label_dictionary,系统会用固定词典保持每次报告的叫法一致，方便你查找和维护。,不得在同一版本中随意更换同一ID的核心含义。,高,门控,待验证,,,V0.8
M2-SYNTH-042,CORE与GATE同维度｜收敛为门槛＋证据,L7 总合成与报告引擎,同源去重,通用,组合,primary_gate,proof_needed,GATE与CORE映射到同一G维度。,二者基础性质不可靠或已真合化。,,,,,,,,,,,98,primary_gate取GATE；proof_needed取CORE；dual_status=U06；不双倍计分。,gate_proof_merge,当你的内在门槛和对方需要证明的内容完全一致时，系统会写成一个清楚的结构：你要确认什么，以及对方怎样做到。,不得把同一维度输出成两项并列标准。,高,门控,待验证,,,V0.8
M2-SYNTH-043,DUAL-U06｜强制单门槛输出,L7 总合成与报告引擎,同源去重,通用,路由,U06同义收敛,最终门槛,DUAL结果为U06。,,,,,,,,,,,,99,secondary_gate清空；保留merged_basis；双重状态=false。,dual_status,两项条件其实是同一件事时，最终报告只保留一个核心门槛。,不得在U06下继续写成双核心或双重标准。,门控,门控,待验证,,,V0.8
M2-SYNTH-044,DUAL-U02｜必须通过独立来源检查,L7 总合成与报告引擎,同源去重,通用,门控,U02双核心并行,独立证据,DUAL拟输出U02。,两个候选同源、同维度或一项低于最低阈值。,,,,,,,,,,,98,需K01维度独立＋K02来源独立；否则转U01/U06/U08。,dual_validation,只有两项条件解决不同问题、并且各有独立依据时，系统才会保留为双核心并行。,不得仅凭分值接近输出U02。,门控,门控,待验证,,,V0.8
M2-SYNTH-045,DUAL-U07｜需要真实案例升级,L7 总合成与报告引擎,同源去重,通用,门控,U07双核心必要,案例反馈,两项功能独立、分值接近且内部规则均强。,缺少真实经历显示任一缺失都会阻止确认。,,,,,,,,,,,99,无案例时necessity_level=重要候选；有重复案例后才可=高度必要。,necessity_level,系统可以先判断两项都重要，但只有真实经历反复证明少一项就会停止，才升级为真正的缺一不可。,不得在规则库初始阶段直接使用绝对必要语言。,门控,门控,待验证,,,V0.8
M2-SYNTH-046,FLOW同起终点｜合并路径版本,L7 总合成与报告引擎,同源去重,通用,组合,多条FLOW候选,相同起点与终点,两条路径起点、终点相同，只是桥梁描述粒度不同。,桥梁功能确实不同且有独立来源。,,,,,,,,,,,90,保留信息更完整、证据更强的一条；另一条进入basis。,flow_merge,两条确认路径如果本质上走向相同，系统会保留更完整的一条，不会重复描述。,不得把同一过程写成两条并行路径。,中高,门控,待验证,,,V0.8
M2-SYNTH-047,直接流与桥接流｜优先保留更可解释版本,L7 总合成与报告引擎,同源去重,通用,路由,直接路径,桥接路径,直接流和桥接流共享起点、终点；桥梁有可靠独立证据。,,,,,,,,,,,,88,主路径保留桥接版本；直接流作为摘要；若桥梁弱则反向。,flow_sequence,当中间验证步骤有可靠依据时，报告会把它写清楚；证据不足时则使用更简洁的直接路径。,不得凭复杂度偏好选择更长路径。,中,门控,待验证,,,V0.8
M2-SYNTH-048,TEMPO机制｜不能为同一路径增加独立分,L7 总合成与报告引擎,同源去重,通用,门控,FLOW路径,TEMPO机制,TEMPO机制由FLOW或DUAL结果派生。,TEMPO另有独立状态或轮次证据。,,,,,,,,,,,94,派生部分不计独立证据；只用于节奏解释。,tempo_dedup,确认路径可以帮助解释为什么快或慢，但同一条路径不会在节奏模块里再次变成独立证据。,不得用FLOW和由FLOW派生的TEMPO双重提高置信。,门控,门控,待验证,,,V0.8
M2-SYNTH-049,SELF证据｜日主印比同一结构分组去重,L7 总合成与报告引擎,同源去重,通用,组合,日主/印/比劫,自我支持,多个SELF规则来自同一自我支持结构。,确有不同基础事实。,,,,,,,,,,,91,按self_support_group封顶；只记录1个基础支持＋状态修正。,self_dedup,自我标准、表达和边界可能由同一组结构共同解释，系统会按证据组计算，不会把相近说明全部独立加分。,不得由同一自我支持结构制造多个独立支持。,中,门控,待验证,,,V0.8
M2-SYNTH-050,M1证据｜不参与M2核心评分,L7 总合成与报告引擎,同源去重,通用,门控,M1心动偏好,M2评分,M1与M2出现相同维度。,,,,,,,,,,,,100,M1只填attraction_selection_relation；不得增加primary_gate或overall_confidence。,m1_score_guard,即使心动偏好和选择标准一致，模型一也只是提供比较，不会替模型二增加核心证据。,不得用M1让M2结论升级为高置信。,门控,门控,待验证,,,V0.8
M2-SYNTH-051,案例反馈｜用于验证规则而非单次命盘加分,L7 总合成与报告引擎,验证管理,通用,门控,真实案例反馈,当前个案评分,案例库已有类似反馈。,该反馈就是当前用户明确提供的个人事实，可作为解释上下文。,,,,,,,,,,,88,更新validation_status、support_count和counterexample_count；不直接改变当前结构分。,case_validation,案例反馈用来校准整套规则，不会因为“别人也这样”就直接提高你这一次结果的分数。,不得把案例数量未经统计设计地当作准确率。,门控,门控,待验证,,,V0.8
M2-SYNTH-052,去重日志｜每次合成都必须可追溯,L7 总合成与报告引擎,同源去重,通用,输出,dedup_log,来源追踪,M2-SYNTH完成候选合并。,,,,,,,,,,,,95,记录被合并的候选、保留项、source_id、原因和受影响字段。,dedup_log,系统会记录哪些信息被合并、为什么合并，方便你以后检查规则是否重复。,不得静默删除证据而不保留追踪记录。,高,门控,待验证,,,V0.8
M2-SYNTH-053,主门槛权威｜GATE优先,L7 总合成与报告引擎,字段权威,通用,路由,primary_gate,M2-GATE,GATE提供可发布的primary_gate。,GATE已stopped或置信低于发布阈值。,,,,,,,,,,,99,primary_gate直接采用GATE；其他模块仅补充证据或双层关系。,primary_gate,你的核心关系门槛首先由夫妻宫模块确定，因为它负责回答“关系成立前必须满足什么”。,不得让CORE、FLOW或TEMPO覆盖可靠GATE主门槛。,高,门控,待验证,,,V0.8
M2-SYNTH-054,主门槛回退｜CORE仅在GATE不可用时补位,L7 总合成与报告引擎,字段权威,通用,路由,primary_gate,M2-CORE fallback,GATE为stopped/partial且无可用主门槛；CORE有高或中高置信独立候选。,CORE仅低置信或与基础状态冲突。,,,,,,,,,,,96,primary_gate取CORE映射维度；confidence上限=中；标记fallback=true。,primary_gate,夫妻宫信息不足时，系统可以暂时用伴侣资格证据推测你最看重什么，但会明确降低确定度。,不得把CORE回退结果写成与可靠GATE同等确定。,中,门控,待验证,,,V0.8
M2-SYNTH-055,主门槛禁用｜M1不能补位,L7 总合成与报告引擎,字段权威,通用,门控,primary_gate,M1心动偏好,GATE与CORE均不可用。,,,,,,,,,,,,100,primary_gate留空；不得使用M1补写。,primary_gate,即使知道什么让你心动，也不能据此代替你真正进入关系时的核心门槛。,不得把心动偏好当作关系准入标准。,门控,门控,待验证,,,V0.8
M2-SYNTH-056,次门槛权威｜DUAL优先决定是否保留,L7 总合成与报告引擎,字段权威,通用,路由,secondary_gate,M2-DUAL,DUAL结果为U01/U02/U03/U04/U05/U07，且第二维度通过独立性检查。,DUAL为U06/U08或第二候选未达阈值。,,,,,,,,,,,98,secondary_gate按DUAL主次/先后结构选择；最多1项。,secondary_gate,第二项条件是否真正值得写入，主要由双层模块判断，而不是看到两个分数就并列。,不得在DUAL否定双层结构后继续保留次门槛。,高,门控,待验证,,,V0.8
M2-SYNTH-057,资格证据权威｜CORE优先,L7 总合成与报告引擎,字段权威,通用,路由,proof_needed,M2-CORE,CORE提供可用伴侣资格证据。,CORE已stopped。,,,,,,,,,,,99,proof_needed采用CORE行为证据；GATE只补充门槛语境。,proof_needed,对方需要怎样证明自己，主要由夫妻星准入模块回答，最终会写成可观察的现实行为。,不得用抽象人格标签替代CORE行为证据。,高,门控,待验证,,,V0.8
M2-SYNTH-058,资格证据回退｜GATE现实证据补位,L7 总合成与报告引擎,字段权威,通用,路由,proof_needed,M2-GATE fallback,CORE不可用；GATE含明确现实证据字段。,GATE也低置信或只有抽象维度。,,,,,,,,,,,94,proof_needed取GATE证据；confidence上限=中。,proof_needed,夫妻星证据不足时，系统可以从夫妻宫门槛中提取最直接的现实验证方式，但会降低确定度。,不得在没有行为证据时自行编造证明清单。,中,门控,待验证,,,V0.8
M2-SYNTH-059,行为证据数量｜最多三项,L7 总合成与报告引擎,字段权威,通用,门控,proof_behaviors,用户输出,CORE或GATE产生多条行为证据。,,,,,,,,,,,,92,按相关性与可观察性排序，只保留2—3条；同义行为合并。,proof_needed,报告只保留最能说明问题的几项行为，例如持续守约、实际推进或稳定投入，不会列出过长清单。,不得把所有规则中的行为词逐条堆叠。,门控,门控,待验证,,,V0.8
M2-SYNTH-060,准入模式｜GATE与CORE共同命名,L7 总合成与报告引擎,字段权威,通用,组合,entry_pattern,GATE＋CORE,GATE提供门槛类型，CORE提供资格证据，两者至少一项中高置信。,两者均低置信或语义无法合并。,,,,,,,,,,,93,优先使用GATE的P类模式；CORE用于校正模式说明；无GATE时使用CORE候选并标记暂定。,entry_pattern,关系准入模式会同时说明你在看什么、对方要怎样证明，而不是只给一个空泛标签。,不得由单一弱信号锁定固定选择模式。,中高,门控,待验证,,,V0.8
M2-SYNTH-061,标准清晰度权威｜SELF优先,L7 总合成与报告引擎,字段权威,通用,路由,selection_clarity,M2-SELF,SELF输出C01—C04并达到可用阈值。,SELF已stopped。,,,,,,,,,,,98,selection_clarity采用SELF；DUAL可把C01校正为C02双层条件。,selection_clarity,你是否清楚自己的关系标准，主要看你能否内部确认、表达和执行，而不是只看门槛数量。,不得把两个候选自动等同于标准清楚。,高,门控,待验证,,,V0.8
