source_group,model,relative_path,filename,extension,category,status,runtime_load,size_bytes,sha256,notes
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.1_寒暖燥湿规则版.xlsx,M0_八字结构判定与用神规则库_V1.1_寒暖燥湿规则版.xlsx,.xlsx,M0历史版本,historical,否,614783,3c2d5ff498106d0e949f9590a2321e7ce5656a75383f0ae845e482da664d2c61,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.2_格局候选判断规则版.xlsx,M0_八字结构判定与用神规则库_V1.2_格局候选判断规则版.xlsx,.xlsx,M0历史版本,historical,否,630147,3f9e4030ed3fa2cfd58ff809248e1cd05e3c39eae7154c41ce9e67a1fbfe87e0,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.3_格局成败救应规则版.xlsx,M0_八字结构判定与用神规则库_V1.3_格局成败救应规则版.xlsx,.xlsx,M0历史版本,historical,否,649029,9790c64f3e8ed42a2d27349e3c997e31cc4e4757682d547955dba36b8d482d69,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.4_病药模型规则版.xlsx,M0_八字结构判定与用神规则库_V1.4_病药模型规则版.xlsx,.xlsx,M0历史版本,historical,否,685073,b7ad8fd0643c6bbc82469fe82ac21b32529d381d386676826784d00401bccee5,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.5_喜忌用神矩阵规则版.xlsx,M0_八字结构判定与用神规则库_V1.5_喜忌用神矩阵规则版.xlsx,.xlsx,M0历史版本,historical,否,715446,d6601dfd0320eee0e194713cd0c140356e634550b27e1a0d994fcc29321396b1,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.6_冲突裁决规则版.xlsx,M0_八字结构判定与用神规则库_V1.6_冲突裁决规则版.xlsx,.xlsx,M0历史版本,historical,否,746532,2c9e4ad0128861207fe64079ef5a2569b38dfa854eceab84cb8ae72f04e9dbc7,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.7_综合输出模板版.xlsx,M0_八字结构判定与用神规则库_V1.7_综合输出模板版.xlsx,.xlsx,M0历史版本,historical,否,765462,e1e93bf569eddb49895836ccf8384bfbe59c9d6781d4cce777909f28352798c3,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.8_案例测试集版.xlsx,M0_八字结构判定与用神规则库_V1.8_案例测试集版.xlsx,.xlsx,M0历史版本,historical,否,811718,0303ddc9e80ba9537b3ff921f590a9b7ebdb5f017542f264a3aee7f349983d53,
M0,M0,01_核心规则库_版本历史/M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,.xlsx,M0核心规则库,authoritative,是,833466,95b4a6f6b4641f2f2005e9d43dbd4a57f7812968b777b9135c4c3950bfc65e1a,
M0,M0,02_开发工作台/M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,.xlsx,M0开发工作台,calibration,否,399456,fc8554e2e8a0a97ef8f37e55e3fe8d39ee49b0ff06aece957d838420e2316889,
M0,M0,03_速查手册/M0_八字结构判定速查手册_V1.0.docx,M0_八字结构判定速查手册_V1.0.docx,.docx,M0速查手册,reference,否,55489,a0f03da8401e786377a9567dd31abeb89108b4d1d281f61a40af2130f05b5559,
M0,M0,03_速查手册/M0_八字结构判定速查手册_V1.0.pdf,M0_八字结构判定速查手册_V1.0.pdf,.pdf,M0速查手册,reference,否,641350,3d26fc0a2d7b0bdbd038d24149cb854dd8dee3e873e215a2a075bbc379ff3d2d,
M0,M0,04_预览与渲染/PDF最终渲染/page-7.png,page-7.png,.png,渲染预览,internal,否,266952,2b5efb7b11e6eba3d9ec83302f3b4f188395433beaaf2f351d7034d07483a373,
M0,M0,04_预览与渲染/工作簿预览/_preview_M19_V1.7.png,_preview_M19_V1.7.png,.png,渲染预览,internal,否,991364,65fcd4694cd21c4abc05e5dcbbd505f670299f1543a9e604b07e6d8bb709bdae,
M0,M0,04_预览与渲染/工作簿预览/_preview_M20_dashboard.png,_preview_M20_dashboard.png,.png,渲染预览,internal,否,164158,cfc31a62dc7882429b5639bb095c8b85c5c3d5c4126ade366882c493889438c7,
M0,M0,04_预览与渲染/工作簿预览/_preview_M20_table.png,_preview_M20_table.png,.png,渲染预览,internal,否,851041,5c79a30f2c492d7f2a362807cddd0dd78b0dac86eed981d82e7080cc22eb4819,
M0,M0,04_预览与渲染/工作簿预览/_preview_realcase_dashboard.png,_preview_realcase_dashboard.png,.png,渲染预览,internal,否,313018,329a6361ba948a30c4d0a286ebb7db3d73008487ef850670ffecc1877064519d,
M0,M0,04_预览与渲染/工作簿预览/_preview_realcase_master.png,_preview_realcase_master.png,.png,渲染预览,internal,否,90712,b240499da9087cb50fbff036ce366c43ce603349a8ad8e8c104c6e365d8c01b3,
M0,M0,04_预览与渲染/工作簿预览/_preview_realcase_report.png,_preview_realcase_report.png,.png,渲染预览,internal,否,195270,59b9314b782a621106b41c315a5d7ca3ec209f4265a1f45cca1f3337b3ffc373,
M0,M0,04_预览与渲染/速查手册渲染/montage.png,montage.png,.png,渲染预览,internal,否,932100,6aec0ccd31d7afbd721f39d68ddc8a45ddfa3ae66b41925758fd5832cd7d674f,
M0,M0,04_预览与渲染/速查手册渲染/page-1.png,page-1.png,.png,渲染预览,internal,否,202040,18cfc688c809565b2c60aa6948e1ac37b95fd2925af8450006c0a47361591d3e,
M0,M0,04_预览与渲染/速查手册渲染/page-2.png,page-2.png,.png,渲染预览,internal,否,164892,89907f284f31d2e9574f29fbb44c96ad664b43e8a8b4a393188d82f22c3531dc,
M0,M0,04_预览与渲染/速查手册渲染/page-8.png,page-8.png,.png,渲染预览,internal,否,238646,69ab34a94ec013c18e53dd000c7eb30485bd0c1d823fc1f7046069888e4b9e85,
M0,M0,README_开发入口.txt,README_开发入口.txt,.txt,说明清单,manifest,否,1578,2079663c90f42df891bba31560fe65eeef241fc59b7d6acf96a6605d7a457fa7,
M0,M0,文件清单.csv,文件清单.csv,.csv,说明清单,manifest,否,12081,e3f4c29d0d4afac1eb49dec2c39172d1fcda238c9961062323beff6f841ab5ba,
当前页面,M1,M1_CORE_核心规则原子表_V0.2.csv,M1_CORE_核心规则原子表_V0.2.csv,.csv,原子规则CSV,authoritative,是,69809,be9d80b7a890f19f98feeeae727ec3401ad8d127f44abb94d137525223cc68cd,
当前页面,M1,M1_心动偏好核心规则速查手册_V0.2.docx,M1_心动偏好核心规则速查手册_V0.2.docx,.docx,速查手册,reference,否,59823,1e509166151488fb6291a91a2e1b14a1e7d9fddffc60a29e9d44004c07f275c3,
当前页面,M2,M2_CORE_夫妻星准入规则原子表_V0.3.csv,M2_CORE_夫妻星准入规则原子表_V0.3.csv,.csv,原子规则CSV,authoritative,是,125157,14887fb871227d25dfac02c55c477c8642700d6788d6f92a6100dec1d44ab5c8,
当前页面,M2,M2_CORE_夫妻星准入规则原子表_V0.3.xlsx,M2_CORE_夫妻星准入规则原子表_V0.3.xlsx,.xlsx,模块工作簿,mirror,否,69896,fce81f6146c4daeca073371b0fdf43300fab0981854d26328fdafffe89265332,
当前页面,M2,M2_DUAL_双重门槛与正偏并见原子规则表_V0.6.csv,M2_DUAL_双重门槛与正偏并见原子规则表_V0.6.csv,.csv,原子规则CSV,authoritative,是,193294,524f2f9869ec949537e19d3320aacd33153045e3a63dea519736585eee4e1272,
当前页面,M2,M2_DUAL_双重门槛与正偏并见原子规则表_V0.6.xlsx,M2_DUAL_双重门槛与正偏并见原子规则表_V0.6.xlsx,.xlsx,模块工作簿,mirror,否,121451,d856a1061990f29203a4eaca5ab0cd93a762cdd7fe806cc91cee0c92065baa7e,
当前页面,M2,M2_FLOW_确认路径原子规则表_V0.5.csv,M2_FLOW_确认路径原子规则表_V0.5.csv,.csv,原子规则CSV,authoritative,是,199816,6c69722f0192dd5b032425343218bfb67f2b00bf3caa85f719577cdd0f44f70a,
当前页面,M2,M2_FLOW_确认路径原子规则表_V0.5.xlsx,M2_FLOW_确认路径原子规则表_V0.5.xlsx,.xlsx,模块工作簿,mirror,否,99989,5fe8a2f5e6524b39cbc64d1c53eced67ac72f0aae5ed40422dd44dca019636b4,
当前页面,M2,M2_GATE_夫妻宫门槛原子表_V0.2.csv,M2_GATE_夫妻宫门槛原子表_V0.2.csv,.csv,原子规则CSV,authoritative,是,94126,7d15e4257400c1fb4849d12acaa3b67c540bc2ca41f2880617290ee478355dc3,
当前页面,M2,M2_SELF_自我选择位置原子规则表_V0.4.csv,M2_SELF_自我选择位置原子规则表_V0.4.csv,.csv,原子规则CSV,authoritative,是,155980,280f4fc8b8b075314471eaa64665cd12faae090eba9374a6f7cf2ba604b74825,
当前页面,M2,M2_SELF_自我选择位置原子规则表_V0.4.xlsx,M2_SELF_自我选择位置原子规则表_V0.4.xlsx,.xlsx,模块工作簿,mirror,否,83987,461f8954749de541a360147b7a5a8738722b1a1aafc1b977ce82c0756106971a,
当前页面,M2,M2_SYNTH_总合成规则原子表_V0.8.csv,M2_SYNTH_总合成规则原子表_V0.8.csv,.csv,原子规则CSV,authoritative,是,91116,07b5496a657c9dca8d31452c5810571e8285452225a3c374b12d03ec7c1469b8,
当前页面,M2,M2_TEMPO_确认与进入节奏原子规则表_V0.7.csv,M2_TEMPO_确认与进入节奏原子规则表_V0.7.csv,.csv,原子规则CSV,authoritative,是,207256,57bdd38e3abc09fbe2f108094b76c2886d41da46ef8bbc1f0ddf3bb53dda0520,
当前页面,M2,M2_TEMPO_确认与进入节奏原子规则表_V0.7.xlsx,M2_TEMPO_确认与进入节奏原子规则表_V0.7.xlsx,.xlsx,模块工作簿,mirror,否,130964,5e2a81c3bcd323a7852f10340a8ad4ec1d58097559a30d544df5dc0cc04c6f34,
当前页面,M2,M2_关系选择完整速查手册_V0.8.docx,M2_关系选择完整速查手册_V0.8.docx,.docx,速查手册,reference,否,54928,7cb6afd3e11a7786dda171c9e1eaec8de36e47c728f7be43eed91e9f87c42d30,
当前页面,M2,M2_关系选择总规则库_V0.8.xlsx,M2_关系选择总规则库_V0.8.xlsx,.xlsx,总规则库,authoritative,参考/运行时索引,610986,b23b2daa08cf1c5c1823240b238c1d6a49761207d63c0707cad9927df0e9d409,
当前页面,M2,M2_关系选择案例分析速查手册_V0.8_实战版.docx,M2_关系选择案例分析速查手册_V0.8_实战版.docx,.docx,速查手册,reference,否,90721,df894b6905bb355d108f754441ef013a7796f51b73fdbd6272d4144796c6ac2e,
当前页面,M3,M3_BASE_关系运行底盘原子规则表_V0.2.csv,M3_BASE_关系运行底盘原子规则表_V0.2.csv,.csv,原子规则CSV,authoritative,是,223532,75dcfd4efa974dbc589638d1c1e9c40785a78c01bdf2e35c9b6ff6dd69119e65,
当前页面,M3,M3_BASE_关系运行底盘原子规则表_V0.2.xlsx,M3_BASE_关系运行底盘原子规则表_V0.2.xlsx,.xlsx,模块工作簿,mirror,否,116000,b959404a25c6668bc9ce8df005bd8f02fa56890850a0e311ac668a831288f346,
当前页面,M3,M3_BOUND_亲密距离依赖与边界原子规则表_V0.5.csv,M3_BOUND_亲密距离依赖与边界原子规则表_V0.5.csv,.csv,原子规则CSV,authoritative,是,381601,62c3e789c5499ec70d445cd626cf1dd2e19f33563fbc576be46410c69c99de7a,
当前页面,M3,M3_BOUND_亲密距离依赖与边界原子规则表_V0.5.xlsx,M3_BOUND_亲密距离依赖与边界原子规则表_V0.5.xlsx,.xlsx,模块工作簿,mirror,否,160774,0d012aced53ce4b8b15a437514ed5d7262ba1c4dc432226eaa5b31f2ebaf3809,
当前页面,M3,M3_CARE_付出照顾与支持交换原子规则表_V0.4.csv,M3_CARE_付出照顾与支持交换原子规则表_V0.4.csv,.csv,原子规则CSV,authoritative,是,296250,014a4574d74dec779c61d43c5e4a897d0a85596c77be8cc64c6664e7f4fd28cc,
当前页面,M3,M3_CARE_付出照顾与支持交换原子规则表_V0.4.xlsx,M3_CARE_付出照顾与支持交换原子规则表_V0.4.xlsx,.xlsx,模块工作簿,mirror,否,142619,16951b1b8f06cfec621a353987017b562200be0440b5d401982f7da71fca33a5,
当前页面,M3,M3_CONFLICT_分歧响应与冲突处理原子规则表_V0.6.csv,M3_CONFLICT_分歧响应与冲突处理原子规则表_V0.6.csv,.csv,原子规则CSV,authoritative,是,455441,8d95ecb5e7b863da6d7835b01f7459df10d26adb2251d3aabc8f10617d3b61b6,
当前页面,M3,M3_CONFLICT_分歧响应与冲突处理原子规则表_V0.6.xlsx,M3_CONFLICT_分歧响应与冲突处理原子规则表_V0.6.xlsx,.xlsx,模块工作簿,mirror,否,145650,e42914868cbbce3b94e5d52cc918ee39a6851f35297ea934b9b0545d58c473e3,
当前页面,M3,M3_EXPR_情感表达与沟通原子规则表_V0.3.csv,M3_EXPR_情感表达与沟通原子规则表_V0.3.csv,.csv,原子规则CSV,authoritative,是,298954,3f14e81dcd51123e1e6220fcbcc59aeb0adbb764d292b2e7490bf557cde68b41,
当前页面,M3,M3_EXPR_情感表达与沟通原子规则表_V0.3.xlsx,M3_EXPR_情感表达与沟通原子规则表_V0.3.xlsx,.xlsx,模块工作簿,mirror,否,141821,f5604f0fa62a235f6ca3cd97e8a5632f2b39627b2a60d9bbe70fdab4f910a4e9,
当前页面,M3,M3_相处惯性案例分析极速查阅手册_V0.6_实战版.docx,M3_相处惯性案例分析极速查阅手册_V0.6_实战版.docx,.docx,速查手册,reference,否,84050,282f33c370fb99de92ea1e98ea6a6ef99afc0de6dd23e8574df197c397dc2db3,
当前页面,M3,M3_相处惯性知识库设计文档_V0.1.md,M3_相处惯性知识库设计文档_V0.1.md,.md,设计文档,historical,否,58168,f32ea2398e0df3da3bf85af9ff1c2401b6c4b003334fc76b24db32e2c5858ea1,
当前页面,M3,M3_相处惯性知识库设计文档_V0.2.md,M3_相处惯性知识库设计文档_V0.2.md,.md,设计文档,historical,否,156881,df8ea3a318a577afc596f7b1c5daec05a084404bb176123881f6fe57d8f993f1,
当前页面,M3,M3_相处惯性知识库设计文档_V0.3.md,M3_相处惯性知识库设计文档_V0.3.md,.md,设计文档,historical,否,246975,40b5556215cde02bc97ae8c3768d42a460aa2f82af6e5298c33b8c034085ccbf,
当前页面,M3,M3_相处惯性知识库设计文档_V0.4.md,M3_相处惯性知识库设计文档_V0.4.md,.md,设计文档,historical,否,337205,dddc87754047bfcad9c82fd61a3707e442f217f58112ab178ad63ce72779bb26,
当前页面,M3,M3_相处惯性知识库设计文档_V0.5.md,M3_相处惯性知识库设计文档_V0.5.md,.md,设计文档,historical,否,426114,9a8fafb1d873aab57386ba07c50539af5495c937f5bf21aba802901bd7ed5854,
当前页面,M3,M3_相处惯性知识库设计文档_V0.6.md,M3_相处惯性知识库设计文档_V0.6.md,.md,设计文档,authoritative,否,523820,f8163f3b5bb031f9d256e2d93318807396066ee74d31cb1cb945dda07803f809,
当前页面,M4,M4_BASE_失衡候选底盘原子规则表_V0.2.csv,M4_BASE_失衡候选底盘原子规则表_V0.2.csv,.csv,原子规则CSV,authoritative,是,383888,a90b6648b2f76e8bc97aebf6d6f4ee5fa6148ebe4b4e8028d9c93ab152693cec,
当前页面,M4,M4_BASE_失衡候选底盘原子规则表_V0.2.xlsx,M4_BASE_失衡候选底盘原子规则表_V0.2.xlsx,.xlsx,模块工作簿,mirror,否,145388,b6869bb20373a46ce31f5417790c63aa408dd23b068080b1f283b868fd039fb4,
当前页面,M4,M4_BUFFER_调节保护与病药接口原子规则表_V0.8.csv,M4_BUFFER_调节保护与病药接口原子规则表_V0.8.csv,.csv,原子规则CSV,authoritative,是,1095591,754a16120474b855a4a1a42e831993e2c44e342ba40ee8a508feae40547eb83b,
当前页面,M4,M4_BUFFER_调节保护与病药接口原子规则表_V0.8.xlsx,M4_BUFFER_调节保护与病药接口原子规则表_V0.8.xlsx,.xlsx,模块工作簿,mirror,否,191214,c743567d8a741b0fe3d843e7e25a34e22bb4566ea0679e38d03e2757a30e4fd4,
当前页面,M4,M4_CALIBRATION_关系事件导入模板_V0.10.csv,M4_CALIBRATION_关系事件导入模板_V0.10.csv,.csv,校准资产,calibration,否,284,e7468115901e5cafcfa0397a1ba99d648ea2af2ddc729a6fe572c93a3d3f4ed6,
当前页面,M4,M4_CALIBRATION_案例主档导入模板_V0.10.csv,M4_CALIBRATION_案例主档导入模板_V0.10.csv,.csv,校准资产,calibration,否,187,835bf2e9e5a98d1a3992c5c18b648b61b9cca3677bb20d838d10cff520014cf1,
当前页面,M4,M4_CALIBRATION_真实案例校准工作台_V0.10.xlsx,M4_CALIBRATION_真实案例校准工作台_V0.10.xlsx,.xlsx,校准资产,calibration,否,95247,0f1a75de64c2d3a943dad69d4b2b1c4af5ae44df0a4d948051aab64da80ee796,
当前页面,M4,M4_LOOP_重复互动循环原子规则表_V0.6.csv,M4_LOOP_重复互动循环原子规则表_V0.6.csv,.csv,原子规则CSV,authoritative,是,835546,cd9a079d9e089b64deb570580f69db9f1768bb2717328310b5f8028f0f310ac1,
当前页面,M4,M4_LOOP_重复互动循环原子规则表_V0.6.xlsx,M4_LOOP_重复互动循环原子规则表_V0.6.xlsx,.xlsx,模块工作簿,mirror,否,160007,8592a24b18e8e8c7a5541c7f72cd5ee6d1e6235ec04b1049cc3e75fe0617f4ae,
当前页面,M4,M4_MISREAD_关系识别与证据误读原子规则表_V0.3.csv,M4_MISREAD_关系识别与证据误读原子规则表_V0.3.csv,.csv,原子规则CSV,authoritative,是,556905,f210040bcf2f2bafe0bee0c9f7982b7eccb6ce8fc99f12132ccc88f52acd4378,
当前页面,M4,M4_MISREAD_关系识别与证据误读原子规则表_V0.3.xlsx,M4_MISREAD_关系识别与证据误读原子规则表_V0.3.xlsx,.xlsx,模块工作簿,mirror,否,130756,ef5ddca9c09769c30e163b5a38f4177d477a06cc83b215463982d763d544ca36,
当前页面,M4,M4_OVERUSE_功能过用不足与竞争原子规则表_V0.4.csv,M4_OVERUSE_功能过用不足与竞争原子规则表_V0.4.csv,.csv,原子规则CSV,authoritative,是,645756,72c1541a0ec41d4d4fa0c5d7c677e92f2d7fe90716632064ea2230be969f5d7d,
当前页面,M4,M4_OVERUSE_功能过用不足与竞争原子规则表_V0.4.xlsx,M4_OVERUSE_功能过用不足与竞争原子规则表_V0.4.xlsx,.xlsx,模块工作簿,mirror,否,141844,2ce5db8bfc428c8086db845e586c598e9a8290290d38562e1d6b62358a13ae28,
当前页面,M4,M4_REPAIR_修复卡点与回流断点原子规则表_V0.7.csv,M4_REPAIR_修复卡点与回流断点原子规则表_V0.7.csv,.csv,原子规则CSV,authoritative,是,950670,1f72d06a00894598e7ad25e90d2df6b3d9a58fe0645396c0078c8635e486e3e2,
当前页面,M4,M4_REPAIR_修复卡点与回流断点原子规则表_V0.7.xlsx,M4_REPAIR_修复卡点与回流断点原子规则表_V0.7.xlsx,.xlsx,模块工作簿,mirror,否,152124,5bcd75069f099b1bb511c64c82cc8b34b98f369d9450c049ad5cc8683c05e1d5,
当前页面,M4,M4_SYNTH_总合成规则原子表_V0.9.csv,M4_SYNTH_总合成规则原子表_V0.9.csv,.csv,原子规则CSV,authoritative,是,467842,e818f10f3460b32ade93b2e6d81261b47d9b5d513be179b999d88da858585982,
当前页面,M4,M4_TRIGGER_触发条件阈值与状态切换原子规则表_V0.5.csv,M4_TRIGGER_触发条件阈值与状态切换原子规则表_V0.5.csv,.csv,原子规则CSV,authoritative,是,796750,f4dcef05e6938af836c0b2868da31920dcd546f4b1d531fe7f7758848f65f403,
当前页面,M4,M4_TRIGGER_触发条件阈值与状态切换原子规则表_V0.5.xlsx,M4_TRIGGER_触发条件阈值与状态切换原子规则表_V0.5.xlsx,.xlsx,模块工作簿,mirror,否,177028,b0939f254719a69ef83067ac017755f022bdec51cede33e6dce23c571f6ba62a,
当前页面,M4,M4_关系盲点总规则库_V0.9.xlsx,M4_关系盲点总规则库_V0.9.xlsx,.xlsx,总规则库,authoritative,参考/运行时索引,944228,ffb1b6933d3fd347a877de939a0aa4e826fcd16e87720da97aea1c23aea1076a,
当前页面,M4,M4_关系盲点案例分析极速查阅手册_V0.10_实战版.docx,M4_关系盲点案例分析极速查阅手册_V0.10_实战版.docx,.docx,速查手册,reference,否,72327,b372b080d81a95ea71eee8337ac01122448c7ae0222c570acf016663ecb5cea9,
当前页面,M4,M4_关系盲点真实案例校准方案_V0.10.md,M4_关系盲点真实案例校准方案_V0.10.md,.md,校准资产,calibration,否,895,906e348bd3d1ecfc55ec5f0b9edcc05f5d431688e8604850c36499836198c45d,
当前页面,M4,M4_关系盲点知识库设计文档_V0.1.md,M4_关系盲点知识库设计文档_V0.1.md,.md,设计文档,historical,否,56561,24372d1a9cd01a662170607a624fe6fcb682a9c7426432222c4c10621eff7e25,
当前页面,M4,M4_关系盲点知识库设计文档_V0.2.md,M4_关系盲点知识库设计文档_V0.2.md,.md,设计文档,historical,否,106339,0338dfba12d313b57052d5f78f3a065b0db7cf8c25f00b39a06479dad821f935,
当前页面,M4,M4_关系盲点知识库设计文档_V0.3.md,M4_关系盲点知识库设计文档_V0.3.md,.md,设计文档,historical,否,169442,a3988d67977de3b9ba009fa345a109a3bd1f99b4c6f4383f49f4c38978e34d0e,
当前页面,M4,M4_关系盲点知识库设计文档_V0.4.md,M4_关系盲点知识库设计文档_V0.4.md,.md,设计文档,historical,否,223762,d22929744bf055fc5f45a5ac2b58bc96200e689a1b9801880c1a138c4f5e4134,
当前页面,M4,M4_关系盲点知识库设计文档_V0.5.md,M4_关系盲点知识库设计文档_V0.5.md,.md,设计文档,historical,否,291359,c505a2d04ee6feb07a1783f68061c4bc1c01732d7943be9fa2eb4d8a777bede3,
当前页面,M4,M4_关系盲点知识库设计文档_V0.6.md,M4_关系盲点知识库设计文档_V0.6.md,.md,设计文档,historical,否,356201,cadba4c513da6345d592558136535dd863a26f71cab1f6e1e33bb7737cab3b6f,
当前页面,M4,M4_关系盲点知识库设计文档_V0.7.md,M4_关系盲点知识库设计文档_V0.7.md,.md,设计文档,historical,否,429672,eede34d25ba1ae1c44df10eb28470ce10a9c967a91e6f973acc117f2ba24c0b6,
当前页面,M4,M4_关系盲点知识库设计文档_V0.8.md,M4_关系盲点知识库设计文档_V0.8.md,.md,设计文档,historical,否,508523,63825e9ef4ebef0647cfa8300fa605288999961c720bf7a357ef224f5dcf2992,
当前页面,M4,M4_关系盲点知识库设计文档_V0.9.md,M4_关系盲点知识库设计文档_V0.9.md,.md,设计文档,authoritative,否,554279,5b75e237d21a6c536974e2c6fc67423b2610ab40b2a43b967deacdca219e0b19,
当前页面,M4,M4_关系盲点统一输出JSON_Schema_V0.9.json,M4_关系盲点统一输出JSON_Schema_V0.9.json,.json,JSON Schema,authoritative,是,18044,f8007296f1a9a509f02af28659d7f058aa1a59990c7b3127515af7fb19aa05cf,
当前页面,M5,M5_BASE_适配需求底盘与核心必要条件原子规则表_V0.2.csv,M5_BASE_适配需求底盘与核心必要条件原子规则表_V0.2.csv,.csv,原子规则CSV,authoritative,是,668843,9c90e593203c5840b73f2188a5d1883d45b2cc40e3cfd9fce9592e2c10ef3677,
当前页面,M5,M5_BASE_适配需求底盘与核心必要条件原子规则表_V0.2.xlsx,M5_BASE_适配需求底盘与核心必要条件原子规则表_V0.2.xlsx,.xlsx,模块工作簿,mirror,否,641273,8521a1e8515771f51a413c86ee12e796de827ba4fa61e4f44e8b3cce5e260691,
当前页面,M5,M5_BOUND_边界决定权资源与亲密空间原子规则表_V0.5.csv,M5_BOUND_边界决定权资源与亲密空间原子规则表_V0.5.csv,.csv,原子规则CSV,authoritative,是,1034162,d84e497f81e9c1c06758d8614ccd70ad82198fd14e8ca04e96e95d0bd0da34d1,
当前页面,M5,M5_BOUND_边界决定权资源与亲密空间原子规则表_V0.5.xlsx,M5_BOUND_边界决定权资源与亲密空间原子规则表_V0.5.xlsx,.xlsx,模块工作簿,mirror,否,203021,144dd84b3f21fafc4752799fa8ee41ce352a4294384a8e9568551c455c826ea0,
当前页面,M5,M5_CALIBRATION_关系事件导入模板_V0.10.csv,M5_CALIBRATION_关系事件导入模板_V0.10.csv,.csv,校准资产,calibration,否,255,b1ee80719a1080a6fd9b9ba7afa021c65a6f1f272d27f2b89b82d28e9f2daeb0,
当前页面,M5,M5_CALIBRATION_字段核验导入模板_V0.10.csv,M5_CALIBRATION_字段核验导入模板_V0.10.csv,.csv,校准资产,calibration,否,284,791f8838e3b358662f516c148d14c86340d91880799ef811504634c2c03622ca,
